block_group,B19051_000E,B19051_002E,B19051_003E,B19052_002E,B19052_003E,B19053_002E,B19053_003E,B19054_002E,B19054_003E,B19055_002E,B19055_003E,B19056_002E,B19056_003E,B19057_002E,B19057_003E,B19058_002E,B19058_003E,B19059_002E,B19059_003E,B19060_002E,B19060_003E
480291808002,555.0,396.0,159.0,363.0,192.0,60.0,495.0,6.0,549.0,97.0,458.0,117.0,438.0,22.0,533.0,192.0,363.0,28.0,527.0,41.0,514.0
480291808001,407.0,343.0,64.0,334.0,73.0,16.0,391.0,15.0,392.0,118.0,289.0,21.0,386.0,16.0,391.0,100.0,307.0,7.0,400.0,23.0,384.0
480291708002,272.0,181.0,91.0,176.0,96.0,5.0,267.0,3.0,269.0,96.0,176.0,44.0,228.0,7.0,265.0,82.0,190.0,6.0,266.0,24.0,248.0
480291106002,765.0,337.0,428.0,329.0,436.0,48.0,717.0,37.0,728.0,375.0,390.0,182.0,583.0,78.0,687.0,390.0,375.0,28.0,737.0,77.0,688.0
480291504001,174.0,140.0,34.0,115.0,59.0,34.0,140.0,0.0,174.0,20.0,154.0,28.0,146.0,0.0,174.0,21.0,153.0,22.0,152.0,58.0,116.0
480291504002,256.0,156.0,100.0,156.0,100.0,19.0,237.0,24.0,232.0,168.0,88.0,35.0,221.0,16.0,240.0,85.0,171.0,25.0,231.0,42.0,214.0
480291510001,333.0,302.0,31.0,265.0,68.0,89.0,244.0,8.0,325.0,141.0,192.0,34.0,299.0,5.0,328.0,51.0,282.0,33.0,300.0,71.0,262.0
480291521002,338.0,265.0,73.0,235.0,103.0,67.0,271.0,43.0,295.0,110.0,228.0,7.0,331.0,0.0,338.0,86.0,252.0,60.0,278.0,56.0,282.0
480291521001,307.0,275.0,32.0,269.0,38.0,6.0,301.0,14.0,293.0,49.0,258.0,42.0,265.0,0.0,307.0,37.0,270.0,54.0,253.0,37.0,270.0
480291607024,376.0,254.0,122.0,254.0,122.0,20.0,356.0,31.0,345.0,140.0,236.0,39.0,337.0,0.0,376.0,189.0,187.0,55.0,321.0,66.0,310.0
480291607023,531.0,396.0,135.0,370.0,161.0,62.0,469.0,21.0,510.0,210.0,321.0,93.0,438.0,10.0,521.0,159.0,372.0,84.0,447.0,94.0,437.0
480291616002,754.0,597.0,157.0,592.0,162.0,28.0,726.0,34.0,720.0,197.0,557.0,87.0,667.0,66.0,688.0,261.0,493.0,66.0,688.0,128.0,626.0
480291616001,480.0,410.0,70.0,403.0,77.0,53.0,427.0,12.0,468.0,170.0,310.0,83.0,397.0,19.0,461.0,110.0,370.0,109.0,371.0,96.0,384.0
480291216012,517.0,430.0,87.0,430.0,87.0,30.0,487.0,126.0,391.0,178.0,339.0,54.0,463.0,32.0,485.0,36.0,481.0,133.0,384.0,142.0,375.0
480291216013,500.0,391.0,109.0,391.0,109.0,16.0,484.0,55.0,445.0,135.0,365.0,45.0,455.0,26.0,474.0,45.0,455.0,151.0,349.0,95.0,405.0
480291216014,435.0,338.0,97.0,320.0,115.0,33.0,402.0,36.0,399.0,76.0,359.0,40.0,395.0,0.0,435.0,82.0,353.0,63.0,372.0,129.0,306.0
480291218021,825.0,743.0,82.0,743.0,82.0,42.0,783.0,28.0,797.0,94.0,731.0,0.0,825.0,20.0,805.0,20.0,805.0,93.0,732.0,29.0,796.0
480291218023,975.0,907.0,68.0,841.0,134.0,145.0,830.0,91.0,884.0,217.0,758.0,0.0,975.0,0.0,975.0,41.0,934.0,140.0,835.0,68.0,907.0
480291303002,288.0,209.0,79.0,209.0,79.0,0.0,288.0,15.0,273.0,76.0,212.0,66.0,222.0,6.0,282.0,130.0,158.0,79.0,209.0,9.0,279.0
480291303001,220.0,171.0,49.0,138.0,82.0,56.0,164.0,15.0,205.0,89.0,131.0,2.0,218.0,12.0,208.0,21.0,199.0,18.0,202.0,60.0,160.0
480291307002,333.0,253.0,80.0,245.0,88.0,42.0,291.0,11.0,322.0,98.0,235.0,29.0,304.0,8.0,325.0,32.0,301.0,66.0,267.0,18.0,315.0
480291307001,486.0,323.0,163.0,319.0,167.0,61.0,425.0,0.0,486.0,103.0,383.0,76.0,410.0,44.0,442.0,221.0,265.0,35.0,451.0,31.0,455.0
480291702004,214.0,165.0,49.0,152.0,62.0,13.0,201.0,18.0,196.0,42.0,172.0,36.0,178.0,6.0,208.0,81.0,133.0,18.0,196.0,26.0,188.0
480291702006,288.0,197.0,91.0,183.0,105.0,29.0,259.0,8.0,280.0,199.0,89.0,45.0,243.0,37.0,251.0,94.0,194.0,22.0,266.0,52.0,236.0
480291702002,233.0,197.0,36.0,197.0,36.0,0.0,233.0,18.0,215.0,116.0,117.0,22.0,211.0,0.0,233.0,92.0,141.0,9.0,224.0,0.0,233.0
480291702005,379.0,104.0,275.0,104.0,275.0,0.0,379.0,18.0,361.0,186.0,193.0,99.0,280.0,15.0,364.0,217.0,162.0,69.0,310.0,65.0,314.0
480291702001,225.0,205.0,20.0,197.0,28.0,40.0,185.0,0.0,225.0,52.0,173.0,41.0,184.0,11.0,214.0,44.0,181.0,8.0,217.0,39.0,186.0
480291316011,281.0,204.0,77.0,177.0,104.0,48.0,233.0,53.0,228.0,78.0,203.0,32.0,249.0,0.0,281.0,27.0,254.0,93.0,188.0,46.0,235.0
480291317001,285.0,275.0,10.0,275.0,10.0,14.0,271.0,79.0,206.0,12.0,273.0,0.0,285.0,0.0,285.0,0.0,285.0,8.0,277.0,30.0,255.0
480291412004,255.0,143.0,112.0,143.0,112.0,25.0,230.0,0.0,255.0,71.0,184.0,68.0,187.0,0.0,255.0,78.0,177.0,34.0,221.0,16.0,239.0
480291412001,576.0,425.0,151.0,425.0,151.0,32.0,544.0,0.0,576.0,160.0,416.0,78.0,498.0,16.0,560.0,219.0,357.0,40.0,536.0,0.0,576.0
480291412005,476.0,336.0,140.0,336.0,140.0,0.0,476.0,36.0,440.0,179.0,297.0,30.0,446.0,0.0,476.0,52.0,424.0,56.0,420.0,112.0,364.0
