block_group,household_pub_assist,count_household_pub_assist
480291313004,house_pub_assist_yes,0.0
480291316061,house_pub_assist_yes,11.0
480291103003,house_pub_assist_yes,21.0
480291103002,house_pub_assist_yes,5.0
480291201001,house_pub_assist_yes,12.0
480291206002,house_pub_assist_yes,0.0
480291206003,house_pub_assist_yes,11.0
480291206006,house_pub_assist_yes,0.0
480291206005,house_pub_assist_yes,0.0
480291517003,house_pub_assist_yes,0.0
480291517002,house_pub_assist_yes,24.0
480291517001,house_pub_assist_yes,0.0
480291607013,house_pub_assist_yes,9.0
480291306001,house_pub_assist_yes,11.0
480291306003,house_pub_assist_yes,0.0
480291306002,house_pub_assist_yes,8.0
480291402003,house_pub_assist_yes,25.0
480291402002,house_pub_assist_yes,0.0
480291402001,house_pub_assist_yes,0.0
480291402004,house_pub_assist_yes,0.0
480291309001,house_pub_assist_yes,17.0
480291717004,house_pub_assist_yes,18.0
480291719035,house_pub_assist_yes,0.0
480291717006,house_pub_assist_yes,43.0
480291719032,house_pub_assist_yes,15.0
480291719034,house_pub_assist_yes,0.0
480291509002,house_pub_assist_yes,0.0
480291509001,house_pub_assist_yes,0.0
480291509005,house_pub_assist_yes,8.0
480291705003,house_pub_assist_yes,39.0
480291705004,house_pub_assist_yes,0.0
480291705002,house_pub_assist_yes,0.0
480291805042,house_pub_assist_yes,18.0
480291205025,house_pub_assist_yes,59.0
480291205023,house_pub_assist_yes,0.0
480291205026,house_pub_assist_yes,0.0
480291205024,house_pub_assist_yes,9.0
480291207012,house_pub_assist_yes,0.0
480291207011,house_pub_assist_yes,0.0
480291302002,house_pub_assist_yes,10.0
480291410003,house_pub_assist_yes,21.0
480291410002,house_pub_assist_yes,8.0
480291516001,house_pub_assist_yes,33.0
480291516004,house_pub_assist_yes,0.0
480291516002,house_pub_assist_yes,0.0
480291817051,house_pub_assist_yes,0.0
480291817052,house_pub_assist_yes,0.0
480291512002,house_pub_assist_yes,0.0
480291606001,house_pub_assist_yes,11.0
480291606003,house_pub_assist_yes,48.0
480291419003,house_pub_assist_yes,0.0
480291419002,house_pub_assist_yes,7.0
480291515003,house_pub_assist_yes,4.0
480291515002,house_pub_assist_yes,23.0
480291603003,house_pub_assist_yes,0.0
480291603002,house_pub_assist_yes,0.0
480291603005,house_pub_assist_yes,16.0
480291612001,house_pub_assist_yes,9.0
480291612002,house_pub_assist_yes,32.0
480291804003,house_pub_assist_yes,7.0
480291804001,house_pub_assist_yes,8.0
480291807012,house_pub_assist_yes,0.0
480291811004,house_pub_assist_yes,76.0
480291811002,house_pub_assist_yes,0.0
480291811003,house_pub_assist_yes,0.0
480291909015,house_pub_assist_yes,15.0
480291909013,house_pub_assist_yes,0.0
480291809014,house_pub_assist_yes,13.0
480291813031,house_pub_assist_yes,0.0
480291815041,house_pub_assist_yes,17.0
480291815042,house_pub_assist_yes,0.0
480291816012,house_pub_assist_yes,0.0
480291906011,house_pub_assist_yes,0.0
480291818091,house_pub_assist_yes,0.0
480291818092,house_pub_assist_yes,0.0
480291818094,house_pub_assist_yes,0.0
480291906013,house_pub_assist_yes,7.0
480291910041,house_pub_assist_yes,10.0
480291910043,house_pub_assist_yes,22.0
480291813022,house_pub_assist_yes,0.0
480291212063,house_pub_assist_yes,23.0
480291212061,house_pub_assist_yes,23.0
480291212065,house_pub_assist_yes,24.0
480291212062,house_pub_assist_yes,0.0
480291214022,house_pub_assist_yes,0.0
480291214021,house_pub_assist_yes,48.0
480291218031,house_pub_assist_yes,45.0
480291218032,house_pub_assist_yes,0.0
480291218033,house_pub_assist_yes,12.0
480291218041,house_pub_assist_yes,17.0
480291218042,house_pub_assist_yes,0.0
480291218043,house_pub_assist_yes,56.0
480291308001,house_pub_assist_yes,93.0
480291308004,house_pub_assist_yes,14.0
480291308002,house_pub_assist_yes,38.0
480291308003,house_pub_assist_yes,8.0
480291311003,house_pub_assist_yes,5.0
480291311002,house_pub_assist_yes,14.0
480291602002,house_pub_assist_yes,5.0
480291817134,house_pub_assist_yes,0.0
480291817132,house_pub_assist_yes,0.0
480291817133,house_pub_assist_yes,12.0
480291815054,house_pub_assist_yes,18.0
480291815053,house_pub_assist_yes,4.0
480291815051,house_pub_assist_yes,0.0
480291817042,house_pub_assist_yes,8.0
480291817044,house_pub_assist_yes,0.0
480291817111,house_pub_assist_yes,0.0
480291907002,house_pub_assist_yes,11.0
480291907003,house_pub_assist_yes,20.0
480291607011,house_pub_assist_yes,0.0
480291607012,house_pub_assist_yes,0.0
480291718011,house_pub_assist_yes,7.0
480291718013,house_pub_assist_yes,15.0
480291718014,house_pub_assist_yes,47.0
480291718012,house_pub_assist_yes,27.0
480291802013,house_pub_assist_yes,32.0
480291802012,house_pub_assist_yes,0.0
480291802014,house_pub_assist_yes,0.0
480291802011,house_pub_assist_yes,0.0
480291812001,house_pub_assist_yes,0.0
480291812004,house_pub_assist_yes,11.0
480291812002,house_pub_assist_yes,0.0
480291812005,house_pub_assist_yes,0.0
480291514004,house_pub_assist_yes,0.0
480291511003,house_pub_assist_yes,0.0
480291511001,house_pub_assist_yes,3.0
480291514001,house_pub_assist_yes,24.0
480291514002,house_pub_assist_yes,0.0
480291905012,house_pub_assist_yes,0.0
480291905013,house_pub_assist_yes,10.0
480291905011,house_pub_assist_yes,0.0
480291908001,house_pub_assist_yes,7.0
480291908002,house_pub_assist_yes,0.0
480291909011,house_pub_assist_yes,0.0
480291909012,house_pub_assist_yes,13.0
480291909021,house_pub_assist_yes,16.0
