block_group,leave_time,count_leave_time
480291218043,time_leave_to_work_00_05,10.0
480291308001,time_leave_to_work_00_05,25.0
480291308004,time_leave_to_work_00_05,32.0
480291308002,time_leave_to_work_00_05,22.0
480291308003,time_leave_to_work_00_05,19.0
480291311003,time_leave_to_work_00_05,14.0
480291311002,time_leave_to_work_00_05,48.0
480291602002,time_leave_to_work_00_05,19.0
480291817134,time_leave_to_work_00_05,0.0
480291817132,time_leave_to_work_00_05,0.0
480291817133,time_leave_to_work_00_05,17.0
480291815054,time_leave_to_work_00_05,0.0
480291815053,time_leave_to_work_00_05,6.0
480291815051,time_leave_to_work_00_05,0.0
480291817042,time_leave_to_work_00_05,28.0
480291817044,time_leave_to_work_00_05,34.0
480291817111,time_leave_to_work_00_05,0.0
480291907002,time_leave_to_work_00_05,0.0
480291907003,time_leave_to_work_00_05,24.0
480291607011,time_leave_to_work_00_05,34.0
480291607012,time_leave_to_work_00_05,0.0
480291718011,time_leave_to_work_00_05,80.0
480291718013,time_leave_to_work_00_05,12.0
480291718014,time_leave_to_work_00_05,109.0
480291718012,time_leave_to_work_00_05,45.0
480291802013,time_leave_to_work_00_05,9.0
480291802012,time_leave_to_work_00_05,0.0
480291802014,time_leave_to_work_00_05,14.0
480291802011,time_leave_to_work_00_05,0.0
480291812001,time_leave_to_work_00_05,0.0
480291812004,time_leave_to_work_00_05,17.0
480291812002,time_leave_to_work_00_05,0.0
480291812005,time_leave_to_work_00_05,0.0
480291514004,time_leave_to_work_00_05,62.0
480291511003,time_leave_to_work_00_05,0.0
480291511001,time_leave_to_work_00_05,0.0
480291514001,time_leave_to_work_00_05,0.0
480291514002,time_leave_to_work_00_05,41.0
480291905012,time_leave_to_work_00_05,159.0
480291905013,time_leave_to_work_00_05,0.0
480291905011,time_leave_to_work_00_05,72.0
480291908001,time_leave_to_work_00_05,7.0
480291908002,time_leave_to_work_00_05,0.0
480291909011,time_leave_to_work_00_05,0.0
480291909012,time_leave_to_work_00_05,96.0
480291909021,time_leave_to_work_00_05,25.0
480291909023,time_leave_to_work_00_05,0.0
480291810012,time_leave_to_work_00_05,24.0
480291810042,time_leave_to_work_00_05,81.0
480291810041,time_leave_to_work_00_05,35.0
480291901004,time_leave_to_work_00_05,0.0
480291901003,time_leave_to_work_00_05,9.0
480291901002,time_leave_to_work_00_05,36.0
480291719021,time_leave_to_work_00_05,55.0
480291311001,time_leave_to_work_00_05,46.0
480291203008,time_leave_to_work_00_05,0.0
480291203007,time_leave_to_work_00_05,0.0
480291501001,time_leave_to_work_00_05,71.0
480291501004,time_leave_to_work_00_05,0.0
480291506004,time_leave_to_work_00_05,5.0
480291506003,time_leave_to_work_00_05,48.0
480291511007,time_leave_to_work_00_05,0.0
480291511005,time_leave_to_work_00_05,0.0
480291511004,time_leave_to_work_00_05,92.0
480291918042,time_leave_to_work_00_05,51.0
480291918041,time_leave_to_work_00_05,0.0
480291210004,time_leave_to_work_00_05,15.0
480291210003,time_leave_to_work_00_05,25.0
480291210005,time_leave_to_work_00_05,18.0
480291210006,time_leave_to_work_00_05,9.0
480291211102,time_leave_to_work_00_05,67.0
480291215062,time_leave_to_work_00_05,55.0
480291215061,time_leave_to_work_00_05,8.0
480291305001,time_leave_to_work_00_05,36.0
480291305003,time_leave_to_work_00_05,70.0
480291305002,time_leave_to_work_00_05,80.0
480291305004,time_leave_to_work_00_05,14.0
480291904003,time_leave_to_work_00_05,0.0
