block_group,household_wage_sal,count_household_wage_sal
480291905012,house_wage_sal_yes,342.0
480291905013,house_wage_sal_yes,242.0
480291905011,house_wage_sal_yes,282.0
480291908001,house_wage_sal_yes,303.0
480291908002,house_wage_sal_yes,292.0
480291909011,house_wage_sal_yes,371.0
480291909012,house_wage_sal_yes,607.0
480291909021,house_wage_sal_yes,516.0
480291909023,house_wage_sal_yes,219.0
480291810012,house_wage_sal_yes,595.0
480291810042,house_wage_sal_yes,1352.0
480291810041,house_wage_sal_yes,877.0
480291901004,house_wage_sal_yes,211.0
480291901003,house_wage_sal_yes,243.0
480291901002,house_wage_sal_yes,180.0
480291719021,house_wage_sal_yes,1025.0
480291311001,house_wage_sal_yes,108.0
480291203008,house_wage_sal_yes,165.0
480291203007,house_wage_sal_yes,151.0
480291501001,house_wage_sal_yes,551.0
480291501004,house_wage_sal_yes,348.0
480291506004,house_wage_sal_yes,233.0
480291506003,house_wage_sal_yes,197.0
480291511007,house_wage_sal_yes,281.0
480291511005,house_wage_sal_yes,190.0
480291511004,house_wage_sal_yes,303.0
480291918042,house_wage_sal_yes,825.0
480291918041,house_wage_sal_yes,422.0
480291210004,house_wage_sal_yes,361.0
480291210003,house_wage_sal_yes,666.0
480291210005,house_wage_sal_yes,391.0
480291210006,house_wage_sal_yes,307.0
480291211102,house_wage_sal_yes,398.0
480291215062,house_wage_sal_yes,217.0
480291215061,house_wage_sal_yes,243.0
480291305001,house_wage_sal_yes,158.0
480291305003,house_wage_sal_yes,414.0
480291305002,house_wage_sal_yes,235.0
480291305004,house_wage_sal_yes,222.0
480291904003,house_wage_sal_yes,276.0
480291211081,house_wage_sal_yes,303.0
480291211083,house_wage_sal_yes,961.0
480291211084,house_wage_sal_yes,372.0
480291207015,house_wage_sal_yes,385.0
480291215042,house_wage_sal_yes,132.0
480291215041,house_wage_sal_yes,486.0
480291503001,house_wage_sal_yes,140.0
480291503004,house_wage_sal_yes,361.0
480291503003,house_wage_sal_yes,193.0
480291602003,house_wage_sal_yes,215.0
480291508002,house_wage_sal_yes,155.0
480291508003,house_wage_sal_yes,204.0
480291712003,house_wage_sal_yes,340.0
480291418001,house_wage_sal_yes,168.0
480291418002,house_wage_sal_yes,88.0
480291512005,house_wage_sal_yes,1046.0
480291512003,house_wage_sal_yes,196.0
480291512001,house_wage_sal_yes,281.0
480291107001,house_wage_sal_yes,250.0
480291904001,house_wage_sal_yes,246.0
480291719121,house_wage_sal_yes,1522.0
480291817122,house_wage_sal_yes,393.0
480291816023,house_wage_sal_yes,356.0
480291816021,house_wage_sal_yes,207.0
480291818081,house_wage_sal_yes,520.0
480291821021,house_wage_sal_yes,390.0
480291911011,house_wage_sal_yes,235.0
480291911012,house_wage_sal_yes,280.0
480291219082,house_wage_sal_yes,555.0
480291219091,house_wage_sal_yes,1190.0
480291219092,house_wage_sal_yes,1221.0
480291219101,house_wage_sal_yes,1550.0
480291219102,house_wage_sal_yes,293.0
480291304011,house_wage_sal_yes,149.0
480291304012,house_wage_sal_yes,235.0
480291304013,house_wage_sal_yes,326.0
480291304014,house_wage_sal_yes,153.0
480291304021,house_wage_sal_yes,224.0
480291304022,house_wage_sal_yes,367.0
480291304023,house_wage_sal_yes,257.0
480291314011,house_wage_sal_yes,1578.0
480291314012,house_wage_sal_yes,929.0
480291314021,house_wage_sal_yes,202.0
480291719182,house_wage_sal_yes,434.0
480291719184,house_wage_sal_yes,457.0
480291719191,house_wage_sal_yes,1219.0
480291719202,house_wage_sal_yes,1236.0
480291719211,house_wage_sal_yes,645.0
480291719213,house_wage_sal_yes,299.0
480291719221,house_wage_sal_yes,888.0
480291719232,house_wage_sal_yes,382.0
480291719233,house_wage_sal_yes,847.0
480291719241,house_wage_sal_yes,1986.0
480291720022,house_wage_sal_yes,1619.0
480291719242,house_wage_sal_yes,635.0
480291719252,house_wage_sal_yes,718.0
480291719254,house_wage_sal_yes,846.0
480291720031,house_wage_sal_yes,871.0
480291720032,house_wage_sal_yes,778.0
480291720051,house_wage_sal_yes,1287.0
480291720052,house_wage_sal_yes,1698.0
480291720062,house_wage_sal_yes,564.0
480291720063,house_wage_sal_yes,493.0
480291720072,house_wage_sal_yes,601.0
480291720073,house_wage_sal_yes,1018.0
480291801012,house_wage_sal_yes,377.0
480291315031,house_wage_sal_yes,194.0
480291315032,house_wage_sal_yes,257.0
480291315041,house_wage_sal_yes,336.0
480291315042,house_wage_sal_yes,205.0
480291315051,house_wage_sal_yes,570.0
480291315052,house_wage_sal_yes,539.0
480291315062,house_wage_sal_yes,637.0
480291316081,house_wage_sal_yes,663.0
480291315071,house_wage_sal_yes,698.0
480291315073,house_wage_sal_yes,604.0
480291316012,house_wage_sal_yes,748.0
480291316082,house_wage_sal_yes,830.0
480291316092,house_wage_sal_yes,543.0
480291316093,house_wage_sal_yes,750.0
480291316102,house_wage_sal_yes,565.0
480291316111,house_wage_sal_yes,248.0
480291316131,house_wage_sal_yes,421.0
480291316132,house_wage_sal_yes,741.0
480291316142,house_wage_sal_yes,142.0
480291316151,house_wage_sal_yes,1049.0
480291316153,house_wage_sal_yes,382.0
480291316154,house_wage_sal_yes,371.0
480291318012,house_wage_sal_yes,164.0
480291318021,house_wage_sal_yes,454.0
480291318023,house_wage_sal_yes,472.0
480291411011,house_wage_sal_yes,232.0
480291411013,house_wage_sal_yes,363.0
480291411021,house_wage_sal_yes,233.0
480291411023,house_wage_sal_yes,404.0
480291414022,house_wage_sal_yes,459.0
480291414032,house_wage_sal_yes,834.0
480291414041,house_wage_sal_yes,558.0
480291414043,house_wage_sal_yes,217.0
480291416002,house_wage_sal_yes,433.0
480291513011,house_wage_sal_yes,258.0
480291513012,house_wage_sal_yes,173.0
480291513013,house_wage_sal_yes,275.0
480291513014,house_wage_sal_yes,643.0
480291513021,house_wage_sal_yes,380.0
480291513022,house_wage_sal_yes,338.0
480291521003,house_wage_sal_yes,162.0
480291521004,house_wage_sal_yes,458.0
480291522011,house_wage_sal_yes,567.0
480291522012,house_wage_sal_yes,473.0
480291522013,house_wage_sal_yes,457.0
480291522021,house_wage_sal_yes,727.0
480291605011,house_wage_sal_yes,364.0
480291605012,house_wage_sal_yes,226.0
480291605021,house_wage_sal_yes,93.0
480291609013,house_wage_sal_yes,174.0
480291605022,house_wage_sal_yes,209.0
480291605024,house_wage_sal_yes,238.0
480291609011,house_wage_sal_yes,162.0
480291609021,house_wage_sal_yes,379.0
480291609023,house_wage_sal_yes,259.0
480291613022,house_wage_sal_yes,391.0
480291613032,house_wage_sal_yes,405.0
480291613041,house_wage_sal_yes,401.0
480291614001,house_wage_sal_yes,381.0
480291615031,house_wage_sal_yes,447.0
480291615033,house_wage_sal_yes,154.0
480291615041,house_wage_sal_yes,362.0
480291618011,house_wage_sal_yes,759.0
480291618012,house_wage_sal_yes,238.0
480291618022,house_wage_sal_yes,648.0
480291619011,house_wage_sal_yes,243.0
480291619022,house_wage_sal_yes,575.0
480291619023,house_wage_sal_yes,950.0
480291620032,house_wage_sal_yes,331.0
480291620033,house_wage_sal_yes,184.0
480291620042,house_wage_sal_yes,429.0
480291713011,house_wage_sal_yes,205.0
480291713021,house_wage_sal_yes,159.0
480291713022,house_wage_sal_yes,168.0
480291716011,house_wage_sal_yes,441.0
480291716013,house_wage_sal_yes,338.0
480291716021,house_wage_sal_yes,481.0
480291719022,house_wage_sal_yes,1336.0
480291719023,house_wage_sal_yes,2029.0
480291719131,house_wage_sal_yes,1058.0
480291719132,house_wage_sal_yes,354.0
480291719142,house_wage_sal_yes,571.0
480291719143,house_wage_sal_yes,493.0
480291719161,house_wage_sal_yes,865.0
480291719162,house_wage_sal_yes,422.0
480291719171,house_wage_sal_yes,1103.0
480291719172,house_wage_sal_yes,1364.0
480291215053,house_wage_sal_yes,526.0
480291216051,house_wage_sal_yes,362.0
480291216052,house_wage_sal_yes,168.0
480291216062,house_wage_sal_yes,1019.0
480291216063,house_wage_sal_yes,291.0
480291217011,house_wage_sal_yes,380.0
480291217012,house_wage_sal_yes,207.0
480291217014,house_wage_sal_yes,339.0
480291217021,house_wage_sal_yes,1069.0
480291217023,house_wage_sal_yes,771.0
480291218081,house_wage_sal_yes,178.0
480291218091,house_wage_sal_yes,244.0
480291218092,house_wage_sal_yes,615.0
480291218101,house_wage_sal_yes,868.0
480291218102,house_wage_sal_yes,406.0
480291218112,house_wage_sal_yes,320.0
480291218121,house_wage_sal_yes,953.0
480291219032,house_wage_sal_yes,847.0
480291218123,house_wage_sal_yes,223.0
480291218124,house_wage_sal_yes,115.0
480291219031,house_wage_sal_yes,841.0
480291219042,house_wage_sal_yes,663.0
480291219051,house_wage_sal_yes,672.0
480291219061,house_wage_sal_yes,756.0
480291219062,house_wage_sal_yes,928.0
480291219072,house_wage_sal_yes,3008.0
480291219081,house_wage_sal_yes,501.0
480291209024,house_wage_sal_yes,510.0
480291211103,house_wage_sal_yes,419.0
480291211183,house_wage_sal_yes,519.0
480291211192,house_wage_sal_yes,1168.0
480291211193,house_wage_sal_yes,548.0
480291211202,house_wage_sal_yes,683.0
480291211211,house_wage_sal_yes,476.0
480291211212,house_wage_sal_yes,349.0
480291211221,house_wage_sal_yes,413.0
480291211222,house_wage_sal_yes,451.0
480291211223,house_wage_sal_yes,715.0
480291215014,house_wage_sal_yes,444.0
480291713023,house_wage_sal_yes,153.0
480291713024,house_wage_sal_yes,165.0
480291714012,house_wage_sal_yes,564.0
480291714021,house_wage_sal_yes,506.0
480291714023,house_wage_sal_yes,475.0
480291715011,house_wage_sal_yes,264.0
480291715021,house_wage_sal_yes,285.0
480291715022,house_wage_sal_yes,149.0
480291715024,house_wage_sal_yes,268.0
480291914121,house_wage_sal_yes,630.0
480291914131,house_wage_sal_yes,899.0
480291914132,house_wage_sal_yes,1159.0
480291915031,house_wage_sal_yes,710.0
480291915032,house_wage_sal_yes,510.0
480291915033,house_wage_sal_yes,397.0
480291915041,house_wage_sal_yes,347.0
480291915042,house_wage_sal_yes,365.0
480291915051,house_wage_sal_yes,255.0
480291915052,house_wage_sal_yes,314.0
480291915061,house_wage_sal_yes,723.0
480291915062,house_wage_sal_yes,865.0
480291915063,house_wage_sal_yes,460.0
480291917012,house_wage_sal_yes,174.0
480291917021,house_wage_sal_yes,1352.0
480291917023,house_wage_sal_yes,328.0
480291917024,house_wage_sal_yes,229.0
480291918061,house_wage_sal_yes,279.0
480291918062,house_wage_sal_yes,470.0
480291918071,house_wage_sal_yes,1143.0
480291918072,house_wage_sal_yes,975.0
480291918082,house_wage_sal_yes,585.0
480291918091,house_wage_sal_yes,1309.0
480291918101,house_wage_sal_yes,817.0
480291918102,house_wage_sal_yes,700.0
480291918121,house_wage_sal_yes,630.0
480291918122,house_wage_sal_yes,356.0
480291918132,house_wage_sal_yes,728.0
480291821062,house_wage_sal_yes,935.0
480291905031,house_wage_sal_yes,405.0
480291905033,house_wage_sal_yes,404.0
480291905041,house_wage_sal_yes,389.0
480291906031,house_wage_sal_yes,351.0
480291906032,house_wage_sal_yes,386.0
480291906042,house_wage_sal_yes,333.0
480291906043,house_wage_sal_yes,313.0
480291910052,house_wage_sal_yes,246.0
480291910061,house_wage_sal_yes,234.0
480291910063,house_wage_sal_yes,539.0
480291801014,house_wage_sal_yes,212.0
480291801015,house_wage_sal_yes,231.0
480291801021,house_wage_sal_yes,205.0
480291806044,house_wage_sal_yes,204.0
480291801022,house_wage_sal_yes,292.0
480291806041,house_wage_sal_yes,511.0
480291806042,house_wage_sal_yes,547.0
480291806045,house_wage_sal_yes,206.0
480291810033,house_wage_sal_yes,1021.0
480291813032,house_wage_sal_yes,597.0
480291814032,house_wage_sal_yes,1011.0
480291814033,house_wage_sal_yes,492.0
480291814042,house_wage_sal_yes,534.0
480291815032,house_wage_sal_yes,1646.0
480291817112,house_wage_sal_yes,649.0
480291817113,house_wage_sal_yes,959.0
480291817153,house_wage_sal_yes,416.0
480291817162,house_wage_sal_yes,434.0
480291817163,house_wage_sal_yes,869.0
480291817164,house_wage_sal_yes,249.0
480291817183,house_wage_sal_yes,548.0
480291817201,house_wage_sal_yes,1003.0
480291817202,house_wage_sal_yes,196.0
480291817211,house_wage_sal_yes,577.0
480291817212,house_wage_sal_yes,420.0
480291817231,house_wage_sal_yes,427.0
480291817221,house_wage_sal_yes,592.0
480291817222,house_wage_sal_yes,325.0
480291817223,house_wage_sal_yes,371.0
480291817232,house_wage_sal_yes,279.0
480291817233,house_wage_sal_yes,530.0
480291817241,house_wage_sal_yes,743.0
