block_group,commute_time,count_commute_time
480291909021,commute_time_tot_00_14,285.0
480291909023,commute_time_tot_00_14,70.0
480291810012,commute_time_tot_00_14,273.0
480291810042,commute_time_tot_00_14,344.0
480291810041,commute_time_tot_00_14,266.0
480291901004,commute_time_tot_00_14,34.0
480291901003,commute_time_tot_00_14,55.0
480291901002,commute_time_tot_00_14,17.0
480291719021,commute_time_tot_00_14,186.0
480291311001,commute_time_tot_00_14,45.0
480291203008,commute_time_tot_00_14,106.0
480291203007,commute_time_tot_00_14,114.0
480291501001,commute_time_tot_00_14,207.0
480291501004,commute_time_tot_00_14,173.0
480291506004,commute_time_tot_00_14,112.0
480291506003,commute_time_tot_00_14,88.0
480291511007,commute_time_tot_00_14,163.0
480291511005,commute_time_tot_00_14,50.0
480291511004,commute_time_tot_00_14,187.0
480291918042,commute_time_tot_00_14,67.0
480291918041,commute_time_tot_00_14,61.0
480291210004,commute_time_tot_00_14,143.0
480291210003,commute_time_tot_00_14,299.0
480291210005,commute_time_tot_00_14,223.0
480291210006,commute_time_tot_00_14,187.0
480291211102,commute_time_tot_00_14,261.0
480291215062,commute_time_tot_00_14,176.0
480291215061,commute_time_tot_00_14,64.0
480291305001,commute_time_tot_00_14,48.0
480291305003,commute_time_tot_00_14,57.0
480291305002,commute_time_tot_00_14,109.0
480291305004,commute_time_tot_00_14,111.0
480291904003,commute_time_tot_00_14,153.0
480291211081,commute_time_tot_00_14,43.0
480291211083,commute_time_tot_00_14,391.0
480291211084,commute_time_tot_00_14,78.0
480291207015,commute_time_tot_00_14,100.0
480291215042,commute_time_tot_00_14,0.0
480291215041,commute_time_tot_00_14,51.0
480291503001,commute_time_tot_00_14,98.0
480291503004,commute_time_tot_00_14,197.0
480291503003,commute_time_tot_00_14,133.0
480291602003,commute_time_tot_00_14,69.0
480291508002,commute_time_tot_00_14,67.0
480291508003,commute_time_tot_00_14,109.0
480291712003,commute_time_tot_00_14,61.0
480291418001,commute_time_tot_00_14,42.0
480291418002,commute_time_tot_00_14,5.0
480291512005,commute_time_tot_00_14,285.0
480291512003,commute_time_tot_00_14,15.0
480291512001,commute_time_tot_00_14,231.0
480291107001,commute_time_tot_00_14,30.0
480291904001,commute_time_tot_00_14,75.0
480291719121,commute_time_tot_00_14,553.0
480291817122,commute_time_tot_00_14,62.0
480291816023,commute_time_tot_00_14,65.0
480291816021,commute_time_tot_00_14,91.0
480291818081,commute_time_tot_00_14,248.0
480291821021,commute_time_tot_00_14,196.0
480291911011,commute_time_tot_00_14,112.0
480291911012,commute_time_tot_00_14,121.0
480291219082,commute_time_tot_00_14,114.0
480291219091,commute_time_tot_00_14,204.0
480291219092,commute_time_tot_00_14,325.0
480291219101,commute_time_tot_00_14,435.0
480291219102,commute_time_tot_00_14,28.0
480291304011,commute_time_tot_00_14,47.0
480291304012,commute_time_tot_00_14,100.0
480291304013,commute_time_tot_00_14,133.0
480291304014,commute_time_tot_00_14,34.0
480291304021,commute_time_tot_00_14,33.0
480291304022,commute_time_tot_00_14,120.0
480291304023,commute_time_tot_00_14,43.0
480291314011,commute_time_tot_00_14,331.0
480291314012,commute_time_tot_00_14,220.0
480291314021,commute_time_tot_00_14,29.0
480291719182,commute_time_tot_00_14,179.0
480291719184,commute_time_tot_00_14,144.0
480291719191,commute_time_tot_00_14,34.0
480291719202,commute_time_tot_00_14,135.0
480291719211,commute_time_tot_00_14,59.0
480291719213,commute_time_tot_00_14,27.0
480291719221,commute_time_tot_00_14,135.0
480291719232,commute_time_tot_00_14,118.0
480291719233,commute_time_tot_00_14,320.0
480291719241,commute_time_tot_00_14,849.0
480291720022,commute_time_tot_00_14,162.0
480291719242,commute_time_tot_00_14,212.0
480291719252,commute_time_tot_00_14,304.0
480291719254,commute_time_tot_00_14,389.0
480291720031,commute_time_tot_00_14,328.0
480291720032,commute_time_tot_00_14,128.0
480291720051,commute_time_tot_00_14,208.0
480291720052,commute_time_tot_00_14,351.0
480291720062,commute_time_tot_00_14,26.0
480291720063,commute_time_tot_00_14,22.0
480291720072,commute_time_tot_00_14,84.0
480291720073,commute_time_tot_00_14,248.0
480291801012,commute_time_tot_00_14,157.0
480291315031,commute_time_tot_00_14,60.0
480291315032,commute_time_tot_00_14,98.0
480291315041,commute_time_tot_00_14,64.0
480291315042,commute_time_tot_00_14,68.0
480291315051,commute_time_tot_00_14,120.0
480291315052,commute_time_tot_00_14,205.0
480291315062,commute_time_tot_00_14,93.0
480291316081,commute_time_tot_00_14,263.0
480291315071,commute_time_tot_00_14,214.0
480291315073,commute_time_tot_00_14,126.0
480291316012,commute_time_tot_00_14,179.0
480291316082,commute_time_tot_00_14,227.0
480291316092,commute_time_tot_00_14,101.0
480291316093,commute_time_tot_00_14,335.0
480291316102,commute_time_tot_00_14,111.0
480291316111,commute_time_tot_00_14,48.0
480291316131,commute_time_tot_00_14,56.0
480291316132,commute_time_tot_00_14,247.0
480291316142,commute_time_tot_00_14,34.0
480291316151,commute_time_tot_00_14,427.0
480291316153,commute_time_tot_00_14,131.0
480291316154,commute_time_tot_00_14,162.0
480291318012,commute_time_tot_00_14,14.0
480291318021,commute_time_tot_00_14,156.0
480291318023,commute_time_tot_00_14,113.0
480291411011,commute_time_tot_00_14,127.0
480291411013,commute_time_tot_00_14,206.0
480291411021,commute_time_tot_00_14,49.0
480291411023,commute_time_tot_00_14,243.0
480291414022,commute_time_tot_00_14,176.0
480291414032,commute_time_tot_00_14,239.0
480291414041,commute_time_tot_00_14,324.0
480291414043,commute_time_tot_00_14,74.0
480291416002,commute_time_tot_00_14,101.0
480291513011,commute_time_tot_00_14,25.0
480291513012,commute_time_tot_00_14,46.0
480291513013,commute_time_tot_00_14,195.0
480291513014,commute_time_tot_00_14,285.0
480291513021,commute_time_tot_00_14,128.0
480291513022,commute_time_tot_00_14,120.0
480291521003,commute_time_tot_00_14,62.0
480291521004,commute_time_tot_00_14,103.0
480291522011,commute_time_tot_00_14,95.0
480291522012,commute_time_tot_00_14,63.0
480291522013,commute_time_tot_00_14,222.0
480291522021,commute_time_tot_00_14,67.0
480291605011,commute_time_tot_00_14,138.0
480291605012,commute_time_tot_00_14,25.0
480291605021,commute_time_tot_00_14,70.0
480291609013,commute_time_tot_00_14,112.0
480291605022,commute_time_tot_00_14,123.0
480291605024,commute_time_tot_00_14,201.0
480291609011,commute_time_tot_00_14,79.0
480291609021,commute_time_tot_00_14,189.0
480291609023,commute_time_tot_00_14,110.0
480291613022,commute_time_tot_00_14,70.0
480291613032,commute_time_tot_00_14,111.0
480291613041,commute_time_tot_00_14,180.0
480291614001,commute_time_tot_00_14,2327.0
480291615031,commute_time_tot_00_14,207.0
480291615033,commute_time_tot_00_14,10.0
480291615041,commute_time_tot_00_14,33.0
480291618011,commute_time_tot_00_14,221.0
