block_group,f_biz_type,f_count_biz_type
480291501004,workers_f_for_profit,171.0
480291506004,workers_f_for_profit,113.0
480291506003,workers_f_for_profit,104.0
480291511007,workers_f_for_profit,190.0
480291511005,workers_f_for_profit,61.0
480291511004,workers_f_for_profit,177.0
480291918042,workers_f_for_profit,339.0
480291918041,workers_f_for_profit,317.0
480291210004,workers_f_for_profit,218.0
480291210003,workers_f_for_profit,481.0
480291210005,workers_f_for_profit,216.0
480291210006,workers_f_for_profit,195.0
480291211102,workers_f_for_profit,328.0
480291215062,workers_f_for_profit,106.0
480291215061,workers_f_for_profit,123.0
480291305001,workers_f_for_profit,61.0
480291305003,workers_f_for_profit,170.0
480291305002,workers_f_for_profit,107.0
480291305004,workers_f_for_profit,176.0
480291904003,workers_f_for_profit,117.0
480291211081,workers_f_for_profit,164.0
480291211083,workers_f_for_profit,458.0
480291211084,workers_f_for_profit,110.0
480291207015,workers_f_for_profit,141.0
480291215042,workers_f_for_profit,67.0
480291215041,workers_f_for_profit,213.0
480291503001,workers_f_for_profit,126.0
480291503004,workers_f_for_profit,238.0
480291503003,workers_f_for_profit,133.0
480291602003,workers_f_for_profit,141.0
480291508002,workers_f_for_profit,85.0
480291508003,workers_f_for_profit,118.0
480291712003,workers_f_for_profit,247.0
480291418001,workers_f_for_profit,100.0
480291418002,workers_f_for_profit,38.0
480291512005,workers_f_for_profit,504.0
480291512003,workers_f_for_profit,107.0
480291512001,workers_f_for_profit,244.0
480291107001,workers_f_for_profit,83.0
480291904001,workers_f_for_profit,146.0
480291719121,workers_f_for_profit,938.0
480291817122,workers_f_for_profit,198.0
480291816023,workers_f_for_profit,147.0
480291816021,workers_f_for_profit,40.0
480291818081,workers_f_for_profit,234.0
480291821021,workers_f_for_profit,241.0
480291911011,workers_f_for_profit,113.0
480291911012,workers_f_for_profit,130.0
480291219082,workers_f_for_profit,340.0
480291219091,workers_f_for_profit,491.0
480291219092,workers_f_for_profit,818.0
480291219101,workers_f_for_profit,772.0
480291219102,workers_f_for_profit,115.0
480291304011,workers_f_for_profit,80.0
480291304012,workers_f_for_profit,127.0
480291304013,workers_f_for_profit,160.0
480291304014,workers_f_for_profit,113.0
480291304021,workers_f_for_profit,130.0
480291304022,workers_f_for_profit,113.0
480291304023,workers_f_for_profit,141.0
480291314011,workers_f_for_profit,972.0
480291314012,workers_f_for_profit,648.0
480291314021,workers_f_for_profit,111.0
480291719182,workers_f_for_profit,156.0
480291719184,workers_f_for_profit,309.0
480291719191,workers_f_for_profit,875.0
480291719202,workers_f_for_profit,822.0
480291719211,workers_f_for_profit,490.0
480291719213,workers_f_for_profit,192.0
480291719221,workers_f_for_profit,719.0
480291719232,workers_f_for_profit,218.0
480291719233,workers_f_for_profit,472.0
480291719241,workers_f_for_profit,994.0
480291720022,workers_f_for_profit,937.0
480291719242,workers_f_for_profit,499.0
480291719252,workers_f_for_profit,379.0
480291719254,workers_f_for_profit,759.0
480291720031,workers_f_for_profit,537.0
480291720032,workers_f_for_profit,492.0
480291720051,workers_f_for_profit,757.0
480291720052,workers_f_for_profit,896.0
