block_group,household_soc_sec,count_household_soc_sec
480291719202,house_soc_sec_yes,266.0
480291719211,house_soc_sec_yes,134.0
480291719213,house_soc_sec_yes,41.0
480291719221,house_soc_sec_yes,155.0
480291719232,house_soc_sec_yes,168.0
480291719233,house_soc_sec_yes,123.0
480291719241,house_soc_sec_yes,196.0
480291720022,house_soc_sec_yes,200.0
480291719242,house_soc_sec_yes,80.0
480291719252,house_soc_sec_yes,65.0
480291719254,house_soc_sec_yes,115.0
480291720031,house_soc_sec_yes,217.0
480291720032,house_soc_sec_yes,138.0
480291720051,house_soc_sec_yes,271.0
480291720052,house_soc_sec_yes,402.0
480291720062,house_soc_sec_yes,41.0
480291720063,house_soc_sec_yes,214.0
480291720072,house_soc_sec_yes,204.0
480291720073,house_soc_sec_yes,247.0
480291801012,house_soc_sec_yes,141.0
480291315031,house_soc_sec_yes,199.0
480291315032,house_soc_sec_yes,192.0
480291315041,house_soc_sec_yes,66.0
480291315042,house_soc_sec_yes,241.0
480291315051,house_soc_sec_yes,118.0
480291315052,house_soc_sec_yes,199.0
480291315062,house_soc_sec_yes,151.0
480291316081,house_soc_sec_yes,258.0
480291315071,house_soc_sec_yes,173.0
480291315073,house_soc_sec_yes,115.0
480291316012,house_soc_sec_yes,106.0
480291316082,house_soc_sec_yes,174.0
480291316092,house_soc_sec_yes,83.0
480291316093,house_soc_sec_yes,227.0
480291316102,house_soc_sec_yes,74.0
480291316111,house_soc_sec_yes,161.0
480291316131,house_soc_sec_yes,218.0
480291316132,house_soc_sec_yes,123.0
480291316142,house_soc_sec_yes,17.0
480291316151,house_soc_sec_yes,77.0
480291316153,house_soc_sec_yes,78.0
480291316154,house_soc_sec_yes,161.0
480291318012,house_soc_sec_yes,99.0
480291318021,house_soc_sec_yes,270.0
480291318023,house_soc_sec_yes,303.0
480291411011,house_soc_sec_yes,288.0
480291411013,house_soc_sec_yes,51.0
480291411021,house_soc_sec_yes,170.0
480291411023,house_soc_sec_yes,172.0
480291414022,house_soc_sec_yes,65.0
480291414032,house_soc_sec_yes,169.0
480291414041,house_soc_sec_yes,218.0
480291414043,house_soc_sec_yes,160.0
480291416002,house_soc_sec_yes,69.0
480291513011,house_soc_sec_yes,71.0
480291513012,house_soc_sec_yes,81.0
480291513013,house_soc_sec_yes,198.0
480291513014,house_soc_sec_yes,137.0
480291513021,house_soc_sec_yes,190.0
480291513022,house_soc_sec_yes,148.0
480291521003,house_soc_sec_yes,32.0
480291521004,house_soc_sec_yes,152.0
480291522011,house_soc_sec_yes,331.0
480291522012,house_soc_sec_yes,131.0
480291522013,house_soc_sec_yes,181.0
480291522021,house_soc_sec_yes,234.0
480291605011,house_soc_sec_yes,163.0
480291605012,house_soc_sec_yes,93.0
480291605021,house_soc_sec_yes,91.0
480291609013,house_soc_sec_yes,138.0
480291605022,house_soc_sec_yes,74.0
480291605024,house_soc_sec_yes,203.0
480291609011,house_soc_sec_yes,85.0
480291609021,house_soc_sec_yes,125.0
480291609023,house_soc_sec_yes,131.0
480291613022,house_soc_sec_yes,125.0
480291613032,house_soc_sec_yes,120.0
480291613041,house_soc_sec_yes,126.0
480291614001,house_soc_sec_yes,0.0
480291615031,house_soc_sec_yes,166.0
480291615033,house_soc_sec_yes,45.0
480291615041,house_soc_sec_yes,143.0
480291618011,house_soc_sec_yes,313.0
480291618012,house_soc_sec_yes,48.0
480291618022,house_soc_sec_yes,291.0
480291619011,house_soc_sec_yes,156.0
480291619022,house_soc_sec_yes,387.0
480291619023,house_soc_sec_yes,219.0
480291620032,house_soc_sec_yes,137.0
480291620033,house_soc_sec_yes,152.0
480291620042,house_soc_sec_yes,199.0
480291713011,house_soc_sec_yes,91.0
480291713021,house_soc_sec_yes,57.0
480291713022,house_soc_sec_yes,179.0
480291716011,house_soc_sec_yes,212.0
480291716013,house_soc_sec_yes,94.0
480291716021,house_soc_sec_yes,153.0
480291719022,house_soc_sec_yes,262.0
480291719023,house_soc_sec_yes,457.0
480291719131,house_soc_sec_yes,323.0
480291719132,house_soc_sec_yes,187.0
480291719142,house_soc_sec_yes,176.0
480291719143,house_soc_sec_yes,108.0
480291719161,house_soc_sec_yes,179.0
480291719162,house_soc_sec_yes,144.0
480291719171,house_soc_sec_yes,344.0
480291719172,house_soc_sec_yes,168.0
480291215053,house_soc_sec_yes,184.0
480291216051,house_soc_sec_yes,190.0
480291216052,house_soc_sec_yes,103.0
480291216062,house_soc_sec_yes,258.0
480291216063,house_soc_sec_yes,140.0
480291217011,house_soc_sec_yes,164.0
480291217012,house_soc_sec_yes,186.0
480291217014,house_soc_sec_yes,70.0
480291217021,house_soc_sec_yes,210.0
480291217023,house_soc_sec_yes,416.0
480291218081,house_soc_sec_yes,80.0
480291218091,house_soc_sec_yes,48.0
480291218092,house_soc_sec_yes,264.0
480291218101,house_soc_sec_yes,251.0
480291218102,house_soc_sec_yes,76.0
480291218112,house_soc_sec_yes,111.0
480291218121,house_soc_sec_yes,212.0
480291219032,house_soc_sec_yes,411.0
480291218123,house_soc_sec_yes,114.0
480291218124,house_soc_sec_yes,126.0
480291219031,house_soc_sec_yes,186.0
480291219042,house_soc_sec_yes,139.0
480291219051,house_soc_sec_yes,94.0
480291219061,house_soc_sec_yes,338.0
480291219062,house_soc_sec_yes,125.0
480291219072,house_soc_sec_yes,428.0
480291219081,house_soc_sec_yes,132.0
480291209024,house_soc_sec_yes,79.0
480291211103,house_soc_sec_yes,181.0
480291211183,house_soc_sec_yes,261.0
480291211192,house_soc_sec_yes,196.0
480291211193,house_soc_sec_yes,168.0
480291211202,house_soc_sec_yes,157.0
480291211211,house_soc_sec_yes,139.0
480291211212,house_soc_sec_yes,120.0
480291211221,house_soc_sec_yes,208.0
480291211222,house_soc_sec_yes,160.0
480291211223,house_soc_sec_yes,198.0
480291215014,house_soc_sec_yes,202.0
480291713023,house_soc_sec_yes,96.0
480291713024,house_soc_sec_yes,159.0
480291714012,house_soc_sec_yes,147.0
480291714021,house_soc_sec_yes,255.0
480291714023,house_soc_sec_yes,129.0
480291715011,house_soc_sec_yes,142.0
480291715021,house_soc_sec_yes,118.0
480291715022,house_soc_sec_yes,92.0
480291715024,house_soc_sec_yes,178.0
480291914121,house_soc_sec_yes,192.0
480291914131,house_soc_sec_yes,321.0
480291914132,house_soc_sec_yes,244.0
480291915031,house_soc_sec_yes,230.0
480291915032,house_soc_sec_yes,145.0
480291915033,house_soc_sec_yes,328.0
480291915041,house_soc_sec_yes,160.0
480291915042,house_soc_sec_yes,100.0
480291915051,house_soc_sec_yes,117.0
480291915052,house_soc_sec_yes,274.0
480291915061,house_soc_sec_yes,312.0
480291915062,house_soc_sec_yes,336.0
480291915063,house_soc_sec_yes,165.0
480291917012,house_soc_sec_yes,73.0
480291917021,house_soc_sec_yes,307.0
480291917023,house_soc_sec_yes,104.0
480291917024,house_soc_sec_yes,351.0
480291918061,house_soc_sec_yes,76.0
480291918062,house_soc_sec_yes,146.0
480291918071,house_soc_sec_yes,499.0
480291918072,house_soc_sec_yes,101.0
480291918082,house_soc_sec_yes,50.0
480291918091,house_soc_sec_yes,280.0
480291918101,house_soc_sec_yes,144.0
480291918102,house_soc_sec_yes,111.0
480291918121,house_soc_sec_yes,120.0
480291918122,house_soc_sec_yes,54.0
480291918132,house_soc_sec_yes,139.0
480291821062,house_soc_sec_yes,258.0
480291905031,house_soc_sec_yes,100.0
480291905033,house_soc_sec_yes,148.0
480291905041,house_soc_sec_yes,123.0
480291906031,house_soc_sec_yes,140.0
480291906032,house_soc_sec_yes,196.0
480291906042,house_soc_sec_yes,85.0
480291906043,house_soc_sec_yes,124.0
480291910052,house_soc_sec_yes,130.0
480291910061,house_soc_sec_yes,23.0
480291910063,house_soc_sec_yes,224.0
480291801014,house_soc_sec_yes,61.0
480291801015,house_soc_sec_yes,105.0
480291801021,house_soc_sec_yes,126.0
480291806044,house_soc_sec_yes,24.0
480291801022,house_soc_sec_yes,113.0
480291806041,house_soc_sec_yes,179.0
480291806042,house_soc_sec_yes,155.0
480291806045,house_soc_sec_yes,146.0
480291810033,house_soc_sec_yes,68.0
480291813032,house_soc_sec_yes,34.0
480291814032,house_soc_sec_yes,142.0
480291814033,house_soc_sec_yes,51.0
480291814042,house_soc_sec_yes,119.0
480291815032,house_soc_sec_yes,399.0
480291817112,house_soc_sec_yes,186.0
480291817113,house_soc_sec_yes,315.0
480291817153,house_soc_sec_yes,111.0
480291817162,house_soc_sec_yes,113.0
480291817163,house_soc_sec_yes,81.0
480291817164,house_soc_sec_yes,65.0
480291817183,house_soc_sec_yes,115.0
480291817201,house_soc_sec_yes,305.0
480291817202,house_soc_sec_yes,18.0
480291817211,house_soc_sec_yes,157.0
480291817212,house_soc_sec_yes,94.0
480291817231,house_soc_sec_yes,126.0
480291817221,house_soc_sec_yes,141.0
480291817222,house_soc_sec_yes,130.0
480291817223,house_soc_sec_yes,156.0
480291817232,house_soc_sec_yes,76.0
480291817233,house_soc_sec_yes,248.0
480291817241,house_soc_sec_yes,48.0
480291817242,house_soc_sec_yes,170.0
480291817251,house_soc_sec_yes,289.0
