block_group,household_earnings,count_household_earnings
480291812005,house_earnings_yes,304.0
480291514004,house_earnings_yes,213.0
480291511003,house_earnings_yes,139.0
480291511001,house_earnings_yes,118.0
480291514001,house_earnings_yes,232.0
480291514002,house_earnings_yes,267.0
480291905012,house_earnings_yes,381.0
480291905013,house_earnings_yes,251.0
480291905011,house_earnings_yes,282.0
480291908001,house_earnings_yes,319.0
480291908002,house_earnings_yes,323.0
480291909011,house_earnings_yes,371.0
480291909012,house_earnings_yes,607.0
480291909021,house_earnings_yes,537.0
480291909023,house_earnings_yes,226.0
480291810012,house_earnings_yes,637.0
480291810042,house_earnings_yes,1396.0
480291810041,house_earnings_yes,900.0
480291901004,house_earnings_yes,211.0
480291901003,house_earnings_yes,301.0
480291901002,house_earnings_yes,180.0
480291719021,house_earnings_yes,1025.0
480291311001,house_earnings_yes,116.0
480291203008,house_earnings_yes,165.0
480291203007,house_earnings_yes,167.0
480291501001,house_earnings_yes,551.0
480291501004,house_earnings_yes,372.0
480291506004,house_earnings_yes,255.0
480291506003,house_earnings_yes,197.0
480291511007,house_earnings_yes,281.0
480291511005,house_earnings_yes,190.0
480291511004,house_earnings_yes,303.0
480291918042,house_earnings_yes,825.0
480291918041,house_earnings_yes,436.0
480291210004,house_earnings_yes,380.0
480291210003,house_earnings_yes,680.0
480291210005,house_earnings_yes,411.0
480291210006,house_earnings_yes,317.0
480291211102,house_earnings_yes,429.0
480291215062,house_earnings_yes,217.0
480291215061,house_earnings_yes,243.0
480291305001,house_earnings_yes,158.0
480291305003,house_earnings_yes,474.0
480291305002,house_earnings_yes,259.0
480291305004,house_earnings_yes,222.0
480291904003,house_earnings_yes,285.0
480291211081,house_earnings_yes,303.0
480291211083,house_earnings_yes,961.0
480291211084,house_earnings_yes,372.0
480291207015,house_earnings_yes,397.0
480291215042,house_earnings_yes,132.0
480291215041,house_earnings_yes,486.0
480291503001,house_earnings_yes,140.0
480291503004,house_earnings_yes,384.0
480291503003,house_earnings_yes,199.0
480291602003,house_earnings_yes,227.0
480291508002,house_earnings_yes,194.0
480291508003,house_earnings_yes,204.0
480291712003,house_earnings_yes,367.0
480291418001,house_earnings_yes,236.0
480291418002,house_earnings_yes,94.0
480291512005,house_earnings_yes,1046.0
480291512003,house_earnings_yes,196.0
480291512001,house_earnings_yes,295.0
480291107001,house_earnings_yes,256.0
480291904001,house_earnings_yes,281.0
480291719121,house_earnings_yes,1547.0
480291817122,house_earnings_yes,393.0
480291816023,house_earnings_yes,363.0
480291816021,house_earnings_yes,215.0
480291818081,house_earnings_yes,543.0
480291821021,house_earnings_yes,390.0
480291911011,house_earnings_yes,295.0
480291911012,house_earnings_yes,285.0
480291219082,house_earnings_yes,568.0
480291219091,house_earnings_yes,1212.0
480291219092,house_earnings_yes,1233.0
480291219101,house_earnings_yes,1574.0
480291219102,house_earnings_yes,313.0
480291304011,house_earnings_yes,158.0
480291304012,house_earnings_yes,235.0
480291304013,house_earnings_yes,326.0
480291304014,house_earnings_yes,153.0
480291304021,house_earnings_yes,235.0
480291304022,house_earnings_yes,367.0
480291304023,house_earnings_yes,261.0
480291314011,house_earnings_yes,1578.0
480291314012,house_earnings_yes,946.0
480291314021,house_earnings_yes,214.0
480291719182,house_earnings_yes,452.0
480291719184,house_earnings_yes,457.0
480291719191,house_earnings_yes,1250.0
480291719202,house_earnings_yes,1250.0
480291719211,house_earnings_yes,645.0
480291719213,house_earnings_yes,307.0
480291719221,house_earnings_yes,904.0
480291719232,house_earnings_yes,382.0
480291719233,house_earnings_yes,874.0
480291719241,house_earnings_yes,2015.0
480291720022,house_earnings_yes,1639.0
480291719242,house_earnings_yes,651.0
480291719252,house_earnings_yes,725.0
480291719254,house_earnings_yes,846.0
480291720031,house_earnings_yes,871.0
480291720032,house_earnings_yes,786.0
480291720051,house_earnings_yes,1287.0
480291720052,house_earnings_yes,1698.0
480291720062,house_earnings_yes,564.0
480291720063,house_earnings_yes,513.0
480291720072,house_earnings_yes,610.0
480291720073,house_earnings_yes,1077.0
480291801012,house_earnings_yes,406.0
480291315031,house_earnings_yes,202.0
480291315032,house_earnings_yes,267.0
480291315041,house_earnings_yes,341.0
480291315042,house_earnings_yes,216.0
480291315051,house_earnings_yes,596.0
480291315052,house_earnings_yes,539.0
480291315062,house_earnings_yes,654.0
480291316081,house_earnings_yes,708.0
480291315071,house_earnings_yes,698.0
480291315073,house_earnings_yes,613.0
480291316012,house_earnings_yes,762.0
480291316082,house_earnings_yes,838.0
480291316092,house_earnings_yes,543.0
480291316093,house_earnings_yes,750.0
480291316102,house_earnings_yes,565.0
480291316111,house_earnings_yes,248.0
480291316131,house_earnings_yes,433.0
480291316132,house_earnings_yes,741.0
480291316142,house_earnings_yes,142.0
480291316151,house_earnings_yes,1080.0
480291316153,house_earnings_yes,382.0
480291316154,house_earnings_yes,371.0
480291318012,house_earnings_yes,164.0
480291318021,house_earnings_yes,476.0
480291318023,house_earnings_yes,508.0
480291411011,house_earnings_yes,232.0
480291411013,house_earnings_yes,363.0
480291411021,house_earnings_yes,233.0
480291411023,house_earnings_yes,414.0
480291414022,house_earnings_yes,487.0
480291414032,house_earnings_yes,907.0
480291414041,house_earnings_yes,574.0
480291414043,house_earnings_yes,217.0
480291416002,house_earnings_yes,442.0
480291513011,house_earnings_yes,258.0
480291513012,house_earnings_yes,215.0
480291513013,house_earnings_yes,284.0
480291513014,house_earnings_yes,650.0
480291513021,house_earnings_yes,412.0
480291513022,house_earnings_yes,348.0
480291521003,house_earnings_yes,178.0
480291521004,house_earnings_yes,478.0
480291522011,house_earnings_yes,645.0
480291522012,house_earnings_yes,523.0
480291522013,house_earnings_yes,457.0
480291522021,house_earnings_yes,777.0
480291605011,house_earnings_yes,364.0
