block_group,commute_time_bus,count_commute_time_bus
480291214022,commute_time_bus_00_14,9.0
480291214021,commute_time_bus_00_14,0.0
480291218031,commute_time_bus_00_14,0.0
480291218032,commute_time_bus_00_14,0.0
480291218033,commute_time_bus_00_14,0.0
480291218041,commute_time_bus_00_14,0.0
480291218042,commute_time_bus_00_14,0.0
480291218043,commute_time_bus_00_14,0.0
480291308001,commute_time_bus_00_14,0.0
480291308004,commute_time_bus_00_14,0.0
480291308002,commute_time_bus_00_14,0.0
480291308003,commute_time_bus_00_14,0.0
480291311003,commute_time_bus_00_14,0.0
480291311002,commute_time_bus_00_14,0.0
480291602002,commute_time_bus_00_14,0.0
480291817134,commute_time_bus_00_14,0.0
480291817132,commute_time_bus_00_14,0.0
480291817133,commute_time_bus_00_14,0.0
480291815054,commute_time_bus_00_14,0.0
480291815053,commute_time_bus_00_14,0.0
480291815051,commute_time_bus_00_14,0.0
480291817042,commute_time_bus_00_14,0.0
480291817044,commute_time_bus_00_14,0.0
480291817111,commute_time_bus_00_14,0.0
480291907002,commute_time_bus_00_14,0.0
480291907003,commute_time_bus_00_14,0.0
480291607011,commute_time_bus_00_14,0.0
480291607012,commute_time_bus_00_14,0.0
480291718011,commute_time_bus_00_14,0.0
480291718013,commute_time_bus_00_14,0.0
480291718014,commute_time_bus_00_14,0.0
480291718012,commute_time_bus_00_14,0.0
480291802013,commute_time_bus_00_14,8.0
480291802012,commute_time_bus_00_14,0.0
480291802014,commute_time_bus_00_14,0.0
480291802011,commute_time_bus_00_14,0.0
480291812001,commute_time_bus_00_14,0.0
480291812004,commute_time_bus_00_14,0.0
480291812002,commute_time_bus_00_14,0.0
480291812005,commute_time_bus_00_14,0.0
480291514004,commute_time_bus_00_14,0.0
480291511003,commute_time_bus_00_14,0.0
480291511001,commute_time_bus_00_14,0.0
480291514001,commute_time_bus_00_14,0.0
480291514002,commute_time_bus_00_14,0.0
480291905012,commute_time_bus_00_14,0.0
480291905013,commute_time_bus_00_14,0.0
480291905011,commute_time_bus_00_14,0.0
480291908001,commute_time_bus_00_14,0.0
480291908002,commute_time_bus_00_14,0.0
480291909011,commute_time_bus_00_14,0.0
480291909012,commute_time_bus_00_14,69.0
480291909021,commute_time_bus_00_14,0.0
480291909023,commute_time_bus_00_14,0.0
480291810012,commute_time_bus_00_14,0.0
480291810042,commute_time_bus_00_14,0.0
480291810041,commute_time_bus_00_14,0.0
480291901004,commute_time_bus_00_14,0.0
480291901003,commute_time_bus_00_14,0.0
480291901002,commute_time_bus_00_14,0.0
480291719021,commute_time_bus_00_14,0.0
480291311001,commute_time_bus_00_14,0.0
480291203008,commute_time_bus_00_14,0.0
480291203007,commute_time_bus_00_14,0.0
480291501001,commute_time_bus_00_14,0.0
480291501004,commute_time_bus_00_14,0.0
480291506004,commute_time_bus_00_14,0.0
480291506003,commute_time_bus_00_14,0.0
480291511007,commute_time_bus_00_14,0.0
480291511005,commute_time_bus_00_14,0.0
480291511004,commute_time_bus_00_14,0.0
480291918042,commute_time_bus_00_14,0.0
480291918041,commute_time_bus_00_14,0.0
480291210004,commute_time_bus_00_14,0.0
480291210003,commute_time_bus_00_14,0.0
480291210005,commute_time_bus_00_14,0.0
480291210006,commute_time_bus_00_14,0.0
480291211102,commute_time_bus_00_14,0.0
480291215062,commute_time_bus_00_14,0.0
480291215061,commute_time_bus_00_14,0.0
480291305001,commute_time_bus_00_14,0.0
480291305003,commute_time_bus_00_14,0.0
480291305002,commute_time_bus_00_14,0.0
480291305004,commute_time_bus_00_14,0.0
480291904003,commute_time_bus_00_14,0.0
480291211081,commute_time_bus_00_14,1.0
480291211083,commute_time_bus_00_14,30.0
480291211084,commute_time_bus_00_14,0.0
480291207015,commute_time_bus_00_14,0.0
480291215042,commute_time_bus_00_14,0.0
480291215041,commute_time_bus_00_14,0.0
480291503001,commute_time_bus_00_14,13.0
480291503004,commute_time_bus_00_14,0.0
480291503003,commute_time_bus_00_14,0.0
480291602003,commute_time_bus_00_14,0.0
480291508002,commute_time_bus_00_14,0.0
480291508003,commute_time_bus_00_14,0.0
480291712003,commute_time_bus_00_14,0.0
480291418001,commute_time_bus_00_14,0.0
480291418002,commute_time_bus_00_14,0.0
480291512005,commute_time_bus_00_14,0.0
480291512003,commute_time_bus_00_14,0.0
480291512001,commute_time_bus_00_14,0.0
480291107001,commute_time_bus_00_14,0.0
480291904001,commute_time_bus_00_14,0.0
480291719121,commute_time_bus_00_14,0.0
480291817122,commute_time_bus_00_14,0.0
480291816023,commute_time_bus_00_14,24.0
480291816021,commute_time_bus_00_14,0.0
480291818081,commute_time_bus_00_14,0.0
480291821021,commute_time_bus_00_14,0.0
480291911011,commute_time_bus_00_14,0.0
480291911012,commute_time_bus_00_14,0.0
480291219082,commute_time_bus_00_14,0.0
480291219091,commute_time_bus_00_14,0.0
480291219092,commute_time_bus_00_14,0.0
480291219101,commute_time_bus_00_14,0.0
480291219102,commute_time_bus_00_14,0.0
480291304011,commute_time_bus_00_14,0.0
480291304012,commute_time_bus_00_14,0.0
480291304013,commute_time_bus_00_14,0.0
480291304014,commute_time_bus_00_14,0.0
480291304021,commute_time_bus_00_14,0.0
480291304022,commute_time_bus_00_14,0.0
480291304023,commute_time_bus_00_14,0.0
480291314011,commute_time_bus_00_14,0.0
480291314012,commute_time_bus_00_14,0.0
480291314021,commute_time_bus_00_14,0.0
480291719182,commute_time_bus_00_14,0.0
480291719184,commute_time_bus_00_14,0.0
480291719191,commute_time_bus_00_14,0.0
480291719202,commute_time_bus_00_14,0.0
480291719211,commute_time_bus_00_14,0.0
480291719213,commute_time_bus_00_14,0.0
480291719221,commute_time_bus_00_14,0.0
480291719232,commute_time_bus_00_14,0.0
480291719233,commute_time_bus_00_14,0.0
480291719241,commute_time_bus_00_14,0.0
480291720022,commute_time_bus_00_14,0.0
480291719242,commute_time_bus_00_14,0.0
480291719252,commute_time_bus_00_14,0.0
480291719254,commute_time_bus_00_14,0.0
480291720031,commute_time_bus_00_14,0.0
480291720032,commute_time_bus_00_14,0.0
480291720051,commute_time_bus_00_14,0.0
480291720052,commute_time_bus_00_14,0.0
480291720062,commute_time_bus_00_14,0.0
480291720063,commute_time_bus_00_14,0.0
480291720072,commute_time_bus_00_14,0.0
480291720073,commute_time_bus_00_14,0.0
480291801012,commute_time_bus_00_14,0.0
480291315031,commute_time_bus_00_14,0.0
480291315032,commute_time_bus_00_14,0.0
480291315041,commute_time_bus_00_14,43.0
480291315042,commute_time_bus_00_14,0.0
480291315051,commute_time_bus_00_14,0.0
480291315052,commute_time_bus_00_14,0.0
480291315062,commute_time_bus_00_14,17.0
480291316081,commute_time_bus_00_14,34.0
480291315071,commute_time_bus_00_14,0.0
480291315073,commute_time_bus_00_14,0.0
480291316012,commute_time_bus_00_14,0.0
480291316082,commute_time_bus_00_14,0.0
480291316092,commute_time_bus_00_14,0.0
480291316093,commute_time_bus_00_14,0.0
480291316102,commute_time_bus_00_14,0.0
480291316111,commute_time_bus_00_14,0.0
480291316131,commute_time_bus_00_14,0.0
480291316132,commute_time_bus_00_14,0.0
480291316142,commute_time_bus_00_14,0.0
480291316151,commute_time_bus_00_14,0.0
480291316153,commute_time_bus_00_14,0.0
480291316154,commute_time_bus_00_14,0.0
480291318012,commute_time_bus_00_14,0.0
480291318021,commute_time_bus_00_14,0.0
480291318023,commute_time_bus_00_14,0.0
480291411011,commute_time_bus_00_14,0.0
480291411013,commute_time_bus_00_14,0.0
480291411021,commute_time_bus_00_14,0.0
480291411023,commute_time_bus_00_14,0.0
480291414022,commute_time_bus_00_14,0.0
480291414032,commute_time_bus_00_14,0.0
480291414041,commute_time_bus_00_14,0.0
480291414043,commute_time_bus_00_14,0.0
480291416002,commute_time_bus_00_14,0.0
480291513011,commute_time_bus_00_14,0.0
480291513012,commute_time_bus_00_14,0.0
480291513013,commute_time_bus_00_14,0.0
480291513014,commute_time_bus_00_14,11.0
480291513021,commute_time_bus_00_14,7.0
480291513022,commute_time_bus_00_14,0.0
480291521003,commute_time_bus_00_14,0.0
480291521004,commute_time_bus_00_14,0.0
480291522011,commute_time_bus_00_14,0.0
480291522012,commute_time_bus_00_14,0.0
480291522013,commute_time_bus_00_14,0.0
480291522021,commute_time_bus_00_14,0.0
480291605011,commute_time_bus_00_14,0.0
480291605012,commute_time_bus_00_14,0.0
480291605021,commute_time_bus_00_14,0.0
480291609013,commute_time_bus_00_14,0.0
480291605022,commute_time_bus_00_14,6.0
480291605024,commute_time_bus_00_14,0.0
480291609011,commute_time_bus_00_14,0.0
480291609021,commute_time_bus_00_14,0.0
480291609023,commute_time_bus_00_14,0.0
480291613022,commute_time_bus_00_14,0.0
