block_group,household_retirement,count_household_retirement
480291801012,house_retire_yes,101.0
480291315031,house_retire_yes,138.0
480291315032,house_retire_yes,96.0
480291315041,house_retire_yes,63.0
480291315042,house_retire_yes,102.0
480291315051,house_retire_yes,122.0
480291315052,house_retire_yes,191.0
480291315062,house_retire_yes,112.0
480291316081,house_retire_yes,203.0
480291315071,house_retire_yes,101.0
480291315073,house_retire_yes,71.0
480291316012,house_retire_yes,244.0
480291316082,house_retire_yes,278.0
480291316092,house_retire_yes,97.0
480291316093,house_retire_yes,142.0
480291316102,house_retire_yes,107.0
480291316111,house_retire_yes,102.0
480291316131,house_retire_yes,188.0
480291316132,house_retire_yes,193.0
480291316142,house_retire_yes,60.0
480291316151,house_retire_yes,240.0
480291316153,house_retire_yes,94.0
480291316154,house_retire_yes,94.0
480291318012,house_retire_yes,120.0
480291318021,house_retire_yes,163.0
480291318023,house_retire_yes,179.0
480291411011,house_retire_yes,59.0
480291411013,house_retire_yes,7.0
480291411021,house_retire_yes,66.0
480291411023,house_retire_yes,104.0
480291414022,house_retire_yes,100.0
480291414032,house_retire_yes,89.0
480291414041,house_retire_yes,144.0
480291414043,house_retire_yes,32.0
480291416002,house_retire_yes,58.0
480291513011,house_retire_yes,26.0
480291513012,house_retire_yes,30.0
480291513013,house_retire_yes,81.0
480291513014,house_retire_yes,63.0
480291513021,house_retire_yes,65.0
480291513022,house_retire_yes,39.0
480291521003,house_retire_yes,32.0
480291521004,house_retire_yes,113.0
480291522011,house_retire_yes,117.0
480291522012,house_retire_yes,29.0
480291522013,house_retire_yes,95.0
480291522021,house_retire_yes,128.0
480291605011,house_retire_yes,62.0
480291605012,house_retire_yes,38.0
480291605021,house_retire_yes,8.0
480291609013,house_retire_yes,50.0
480291605022,house_retire_yes,32.0
480291605024,house_retire_yes,144.0
480291609011,house_retire_yes,45.0
480291609021,house_retire_yes,43.0
480291609023,house_retire_yes,44.0
480291613022,house_retire_yes,99.0
480291613032,house_retire_yes,77.0
480291613041,house_retire_yes,121.0
480291614001,house_retire_yes,6.0
480291615031,house_retire_yes,118.0
480291615033,house_retire_yes,45.0
480291615041,house_retire_yes,79.0
480291618011,house_retire_yes,330.0
480291618012,house_retire_yes,23.0
480291618022,house_retire_yes,125.0
480291619011,house_retire_yes,57.0
480291619022,house_retire_yes,212.0
480291619023,house_retire_yes,96.0
480291620032,house_retire_yes,115.0
480291620033,house_retire_yes,90.0
480291620042,house_retire_yes,76.0
480291713011,house_retire_yes,21.0
480291713021,house_retire_yes,49.0
480291713022,house_retire_yes,37.0
480291716011,house_retire_yes,71.0
480291716013,house_retire_yes,20.0
480291716021,house_retire_yes,82.0
480291719022,house_retire_yes,107.0
480291719023,house_retire_yes,279.0
480291719131,house_retire_yes,128.0
480291719132,house_retire_yes,98.0
480291719142,house_retire_yes,205.0
480291719143,house_retire_yes,89.0
480291719161,house_retire_yes,306.0
480291719162,house_retire_yes,53.0
480291719171,house_retire_yes,435.0
480291719172,house_retire_yes,153.0
480291215053,house_retire_yes,226.0
480291216051,house_retire_yes,163.0
480291216052,house_retire_yes,94.0
480291216062,house_retire_yes,244.0
480291216063,house_retire_yes,62.0
480291217011,house_retire_yes,157.0
480291217012,house_retire_yes,145.0
480291217014,house_retire_yes,76.0
480291217021,house_retire_yes,396.0
480291217023,house_retire_yes,342.0
480291218081,house_retire_yes,94.0
480291218091,house_retire_yes,53.0
480291218092,house_retire_yes,215.0
480291218101,house_retire_yes,188.0
480291218102,house_retire_yes,86.0
480291218112,house_retire_yes,149.0
480291218121,house_retire_yes,179.0
480291219032,house_retire_yes,370.0
480291218123,house_retire_yes,96.0
480291218124,house_retire_yes,102.0
480291219031,house_retire_yes,159.0
480291219042,house_retire_yes,231.0
480291219051,house_retire_yes,106.0
480291219061,house_retire_yes,370.0
480291219062,house_retire_yes,189.0
480291219072,house_retire_yes,583.0
480291219081,house_retire_yes,130.0
480291209024,house_retire_yes,37.0
480291211103,house_retire_yes,96.0
480291211183,house_retire_yes,190.0
480291211192,house_retire_yes,77.0
480291211193,house_retire_yes,115.0
480291211202,house_retire_yes,111.0
480291211211,house_retire_yes,147.0
480291211212,house_retire_yes,86.0
480291211221,house_retire_yes,179.0
480291211222,house_retire_yes,154.0
480291211223,house_retire_yes,132.0
480291215014,house_retire_yes,240.0
480291713023,house_retire_yes,26.0
480291713024,house_retire_yes,49.0
480291714012,house_retire_yes,78.0
480291714021,house_retire_yes,80.0
480291714023,house_retire_yes,49.0
480291715011,house_retire_yes,78.0
480291715021,house_retire_yes,44.0
480291715022,house_retire_yes,46.0
480291715024,house_retire_yes,51.0
480291914121,house_retire_yes,202.0
480291914131,house_retire_yes,252.0
480291914132,house_retire_yes,178.0
480291915031,house_retire_yes,184.0
480291915032,house_retire_yes,135.0
480291915033,house_retire_yes,236.0
480291915041,house_retire_yes,114.0
480291915042,house_retire_yes,71.0
480291915051,house_retire_yes,78.0
480291915052,house_retire_yes,107.0
480291915061,house_retire_yes,264.0
480291915062,house_retire_yes,185.0
480291915063,house_retire_yes,79.0
480291917012,house_retire_yes,69.0
480291917021,house_retire_yes,226.0
480291917023,house_retire_yes,134.0
480291917024,house_retire_yes,305.0
480291918061,house_retire_yes,42.0
480291918062,house_retire_yes,112.0
480291918071,house_retire_yes,307.0
480291918072,house_retire_yes,65.0
480291918082,house_retire_yes,76.0
480291918091,house_retire_yes,304.0
480291918101,house_retire_yes,135.0
480291918102,house_retire_yes,120.0
480291918121,house_retire_yes,124.0
480291918122,house_retire_yes,66.0
480291918132,house_retire_yes,149.0
480291821062,house_retire_yes,335.0
480291905031,house_retire_yes,55.0
480291905033,house_retire_yes,62.0
480291905041,house_retire_yes,46.0
480291906031,house_retire_yes,86.0
480291906032,house_retire_yes,64.0
480291906042,house_retire_yes,31.0
480291906043,house_retire_yes,42.0
480291910052,house_retire_yes,41.0
480291910061,house_retire_yes,23.0
480291910063,house_retire_yes,29.0
480291801014,house_retire_yes,25.0
480291801015,house_retire_yes,54.0
480291801021,house_retire_yes,84.0
480291806044,house_retire_yes,46.0
480291801022,house_retire_yes,64.0
480291806041,house_retire_yes,73.0
480291806042,house_retire_yes,114.0
480291806045,house_retire_yes,130.0
480291810033,house_retire_yes,30.0
480291813032,house_retire_yes,43.0
480291814032,house_retire_yes,43.0
480291814033,house_retire_yes,56.0
480291814042,house_retire_yes,94.0
480291815032,house_retire_yes,194.0
480291817112,house_retire_yes,170.0
480291817113,house_retire_yes,194.0
480291817153,house_retire_yes,35.0
480291817162,house_retire_yes,88.0
480291817163,house_retire_yes,172.0
480291817164,house_retire_yes,6.0
480291817183,house_retire_yes,116.0
480291817201,house_retire_yes,384.0
480291817202,house_retire_yes,13.0
