block_group,race,count_race
480291215061,race_tot_w,344.0
480291305001,race_tot_w,11.0
480291305003,race_tot_w,131.0
480291305002,race_tot_w,0.0
480291305004,race_tot_w,37.0
480291904003,race_tot_w,382.0
480291211081,race_tot_w,626.0
480291211083,race_tot_w,1056.0
480291211084,race_tot_w,736.0
480291207015,race_tot_w,505.0
480291215042,race_tot_w,164.0
480291215041,race_tot_w,783.0
480291503001,race_tot_w,136.0
480291503004,race_tot_w,69.0
480291503003,race_tot_w,30.0
480291602003,race_tot_w,64.0
480291508002,race_tot_w,132.0
480291508003,race_tot_w,168.0
480291712003,race_tot_w,23.0
480291418001,race_tot_w,353.0
480291418002,race_tot_w,199.0
480291512005,race_tot_w,385.0
480291512003,race_tot_w,0.0
480291512001,race_tot_w,51.0
480291107001,race_tot_w,100.0
480291904001,race_tot_w,237.0
480291719121,race_tot_w,981.0
480291817122,race_tot_w,604.0
480291816023,race_tot_w,16.0
480291816021,race_tot_w,113.0
480291818081,race_tot_w,566.0
480291821021,race_tot_w,655.0
480291911011,race_tot_w,582.0
480291911012,race_tot_w,592.0
480291219082,race_tot_w,1146.0
480291219091,race_tot_w,1336.0
480291219092,race_tot_w,1581.0
480291219101,race_tot_w,2474.0
480291219102,race_tot_w,395.0
480291304011,race_tot_w,13.0
480291304012,race_tot_w,31.0
480291304013,race_tot_w,18.0
480291304014,race_tot_w,47.0
480291304021,race_tot_w,145.0
480291304022,race_tot_w,38.0
480291304023,race_tot_w,0.0
480291314011,race_tot_w,1588.0
480291314012,race_tot_w,486.0
480291314021,race_tot_w,129.0
480291719182,race_tot_w,189.0
480291719184,race_tot_w,283.0
480291719191,race_tot_w,862.0
480291719202,race_tot_w,757.0
480291719211,race_tot_w,261.0
480291719213,race_tot_w,246.0
480291719221,race_tot_w,423.0
480291719232,race_tot_w,538.0
480291719233,race_tot_w,397.0
480291719241,race_tot_w,1594.0
480291720022,race_tot_w,1279.0
480291719242,race_tot_w,317.0
480291719252,race_tot_w,389.0
480291719254,race_tot_w,687.0
480291720031,race_tot_w,1101.0
480291720032,race_tot_w,910.0
480291720051,race_tot_w,1432.0
480291720052,race_tot_w,2413.0
480291720062,race_tot_w,1038.0
480291720063,race_tot_w,513.0
480291720072,race_tot_w,966.0
480291720073,race_tot_w,1765.0
480291801012,race_tot_w,215.0
480291315031,race_tot_w,483.0
480291315032,race_tot_w,471.0
480291315041,race_tot_w,110.0
480291315042,race_tot_w,199.0
480291315051,race_tot_w,347.0
480291315052,race_tot_w,172.0
480291315062,race_tot_w,401.0
480291316081,race_tot_w,495.0
480291315071,race_tot_w,448.0
480291315073,race_tot_w,253.0
480291316012,race_tot_w,1238.0
480291316082,race_tot_w,519.0
480291316092,race_tot_w,506.0
480291316093,race_tot_w,812.0
480291316102,race_tot_w,252.0
480291316111,race_tot_w,324.0
480291316131,race_tot_w,502.0
480291316132,race_tot_w,584.0
480291316142,race_tot_w,72.0
480291316151,race_tot_w,630.0
480291316153,race_tot_w,268.0
480291316154,race_tot_w,121.0
480291318012,race_tot_w,574.0
480291318021,race_tot_w,813.0
480291318023,race_tot_w,1034.0
480291411011,race_tot_w,249.0
480291411013,race_tot_w,141.0
480291411021,race_tot_w,116.0
480291411023,race_tot_w,310.0
480291414022,race_tot_w,158.0
480291414032,race_tot_w,743.0
480291414041,race_tot_w,223.0
480291414043,race_tot_w,324.0
480291416002,race_tot_w,114.0
480291513011,race_tot_w,9.0
480291513012,race_tot_w,108.0
480291513013,race_tot_w,29.0
480291513014,race_tot_w,225.0
480291513021,race_tot_w,184.0
480291513022,race_tot_w,150.0
480291521003,race_tot_w,229.0
480291521004,race_tot_w,368.0
480291522011,race_tot_w,693.0
480291522012,race_tot_w,230.0
480291522013,race_tot_w,271.0
480291522021,race_tot_w,444.0
480291605011,race_tot_w,0.0
480291605012,race_tot_w,131.0
480291605021,race_tot_w,0.0
480291609013,race_tot_w,39.0
480291605022,race_tot_w,7.0
480291605024,race_tot_w,54.0
480291609011,race_tot_w,28.0
480291609021,race_tot_w,97.0
480291609023,race_tot_w,23.0
480291613022,race_tot_w,35.0
480291613032,race_tot_w,51.0
480291613041,race_tot_w,118.0
480291614001,race_tot_w,2945.0
480291615031,race_tot_w,381.0
480291615033,race_tot_w,53.0
480291615041,race_tot_w,159.0
480291618011,race_tot_w,617.0
480291618012,race_tot_w,13.0
480291618022,race_tot_w,397.0
480291619011,race_tot_w,159.0
480291619022,race_tot_w,906.0
480291619023,race_tot_w,1646.0
480291620032,race_tot_w,371.0
480291620033,race_tot_w,379.0
480291620042,race_tot_w,401.0
480291713011,race_tot_w,13.0
480291713021,race_tot_w,362.0
480291713022,race_tot_w,61.0
480291716011,race_tot_w,8.0
480291716013,race_tot_w,0.0
480291716021,race_tot_w,136.0
480291719022,race_tot_w,734.0
480291719023,race_tot_w,923.0
480291719131,race_tot_w,513.0
480291719132,race_tot_w,267.0
480291719142,race_tot_w,339.0
480291719143,race_tot_w,496.0
480291719161,race_tot_w,1251.0
480291719162,race_tot_w,443.0
480291719171,race_tot_w,1059.0
480291719172,race_tot_w,752.0
480291215053,race_tot_w,614.0
480291216051,race_tot_w,955.0
480291216052,race_tot_w,312.0
480291216062,race_tot_w,919.0
480291216063,race_tot_w,779.0
480291217011,race_tot_w,839.0
480291217012,race_tot_w,568.0
480291217014,race_tot_w,359.0
480291217021,race_tot_w,1702.0
480291217023,race_tot_w,1577.0
480291218081,race_tot_w,273.0
480291218091,race_tot_w,623.0
480291218092,race_tot_w,971.0
480291218101,race_tot_w,1496.0
480291218102,race_tot_w,593.0
480291218112,race_tot_w,485.0
480291218121,race_tot_w,1441.0
480291219032,race_tot_w,2027.0
480291218123,race_tot_w,387.0
480291218124,race_tot_w,473.0
480291219031,race_tot_w,1396.0
480291219042,race_tot_w,1568.0
480291219051,race_tot_w,1202.0
480291219061,race_tot_w,1449.0
480291219062,race_tot_w,1489.0
480291219072,race_tot_w,5148.0
480291219081,race_tot_w,1198.0
480291209024,race_tot_w,698.0
480291211103,race_tot_w,627.0
480291211183,race_tot_w,1438.0
480291211192,race_tot_w,1383.0
480291211193,race_tot_w,1281.0
480291211202,race_tot_w,1123.0
480291211211,race_tot_w,944.0
480291211212,race_tot_w,761.0
480291211221,race_tot_w,1084.0
480291211222,race_tot_w,800.0
480291211223,race_tot_w,1266.0
480291215014,race_tot_w,1301.0
480291713023,race_tot_w,218.0
480291713024,race_tot_w,94.0
480291714012,race_tot_w,151.0
480291714021,race_tot_w,76.0
480291714023,race_tot_w,11.0
480291715011,race_tot_w,65.0
480291715021,race_tot_w,31.0
480291715022,race_tot_w,10.0
480291715024,race_tot_w,66.0
480291914121,race_tot_w,1751.0
480291914131,race_tot_w,1346.0
480291914132,race_tot_w,2049.0
480291915031,race_tot_w,1067.0
480291915032,race_tot_w,1008.0
480291915033,race_tot_w,706.0
480291915041,race_tot_w,952.0
480291915042,race_tot_w,857.0
480291915051,race_tot_w,633.0
480291915052,race_tot_w,726.0
480291915061,race_tot_w,1549.0
480291915062,race_tot_w,1108.0
480291915063,race_tot_w,692.0
480291917012,race_tot_w,508.0
480291917021,race_tot_w,2024.0
480291917023,race_tot_w,621.0
480291917024,race_tot_w,1098.0
480291918061,race_tot_w,728.0
480291918062,race_tot_w,1123.0
480291918071,race_tot_w,2043.0
480291918072,race_tot_w,941.0
480291918082,race_tot_w,659.0
480291918091,race_tot_w,2545.0
480291918101,race_tot_w,1660.0
480291918102,race_tot_w,935.0
480291918121,race_tot_w,1573.0
480291918122,race_tot_w,512.0
480291918132,race_tot_w,1337.0
480291821062,race_tot_w,2363.0
480291905031,race_tot_w,245.0
480291905033,race_tot_w,201.0
480291905041,race_tot_w,522.0
480291906031,race_tot_w,130.0
480291906032,race_tot_w,152.0
480291906042,race_tot_w,48.0
480291906043,race_tot_w,47.0
480291910052,race_tot_w,162.0
480291910061,race_tot_w,160.0
480291910063,race_tot_w,63.0
480291801014,race_tot_w,230.0
480291801015,race_tot_w,240.0
480291801021,race_tot_w,357.0
480291806044,race_tot_w,69.0
480291801022,race_tot_w,186.0
480291806041,race_tot_w,302.0
480291806042,race_tot_w,471.0
480291806045,race_tot_w,255.0
480291810033,race_tot_w,1183.0
480291813032,race_tot_w,536.0
480291814032,race_tot_w,860.0
480291814033,race_tot_w,419.0
480291814042,race_tot_w,583.0
480291815032,race_tot_w,1820.0
480291817112,race_tot_w,633.0
480291817113,race_tot_w,1262.0
480291817153,race_tot_w,233.0
480291817162,race_tot_w,332.0
480291817163,race_tot_w,715.0
480291817164,race_tot_w,114.0
480291817183,race_tot_w,579.0
480291817201,race_tot_w,1599.0
480291817202,race_tot_w,271.0
480291817211,race_tot_w,1085.0
480291817212,race_tot_w,551.0
480291817231,race_tot_w,636.0
480291817221,race_tot_w,359.0
480291817222,race_tot_w,585.0
480291817223,race_tot_w,636.0
480291817232,race_tot_w,182.0
480291817233,race_tot_w,719.0
480291817241,race_tot_w,901.0
480291817242,race_tot_w,964.0
480291817251,race_tot_w,379.0
480291817261,race_tot_w,548.0
480291817262,race_tot_w,1103.0
480291817271,race_tot_w,658.0
480291817272,race_tot_w,130.0
480291817282,race_tot_w,1670.0
480291817291,race_tot_w,2820.0
480291817302,race_tot_w,831.0
480291817311,race_tot_w,434.0
480291817313,race_tot_w,640.0
480291817314,race_tot_w,595.0
480291818131,race_tot_w,801.0
480291818133,race_tot_w,1019.0
480291818141,race_tot_w,1179.0
480291818151,race_tot_w,576.0
480291818152,race_tot_w,948.0
480291818162,race_tot_w,1306.0
480291818171,race_tot_w,655.0
480291818181,race_tot_w,897.0
480291818182,race_tot_w,586.0
480291818191,race_tot_w,294.0
480291818192,race_tot_w,1831.0
480291818202,race_tot_w,1286.0
480291818211,race_tot_w,337.0
480291818221,race_tot_w,466.0
480291818222,race_tot_w,608.0
480291818231,race_tot_w,1019.0
480291818241,race_tot_w,520.0
480291912012,race_tot_w,716.0
480291910064,race_tot_w,20.0
480291912011,race_tot_w,565.0
480291912021,race_tot_w,572.0
480291912022,race_tot_w,176.0
480291912023,race_tot_w,498.0
480291912024,race_tot_w,663.0
480291913031,race_tot_w,887.0
480291913041,race_tot_w,331.0
480291913042,race_tot_w,278.0
480291914062,race_tot_w,1702.0
480291914063,race_tot_w,1556.0
480291914082,race_tot_w,287.0
480291914101,race_tot_w,325.0
480291914102,race_tot_w,674.0
480291914103,race_tot_w,286.0
480291914111,race_tot_w,727.0
480291914112,race_tot_w,1292.0
480291818242,race_tot_w,680.0
480291818251,race_tot_w,709.0
480291818252,race_tot_w,1237.0
480291818261,race_tot_w,824.0
480291818262,race_tot_w,813.0
480291818263,race_tot_w,629.0
480291818264,race_tot_w,671.0
480291819011,race_tot_w,418.0
480291819012,race_tot_w,1432.0
480291819021,race_tot_w,3191.0
480291819022,race_tot_w,1657.0
480291820011,race_tot_w,1148.0
480291820012,race_tot_w,1711.0
480291820021,race_tot_w,3134.0
480291820023,race_tot_w,1436.0
480291820032,race_tot_w,495.0
480291821012,race_tot_w,1656.0
480291821022,race_tot_w,1542.0
480291821023,race_tot_w,2736.0
480291821061,race_tot_w,1546.0
480291918142,race_tot_w,1521.0
480291918151,race_tot_w,1396.0
480291918161,race_tot_w,1051.0
480291918162,race_tot_w,659.0
480291918172,race_tot_w,1632.0
480291919001,race_tot_w,264.0
480291919003,race_tot_w,29.0
480291919004,race_tot_w,51.0
480291920001,race_tot_w,1027.0
480291920002,race_tot_w,514.0
480291920004,race_tot_w,265.0
480291920005,race_tot_w,0.0
480291921002,race_tot_w,393.0
480291922001,race_tot_w,216.0
480291923001,race_tot_w,271.0
480291923002,race_tot_w,1062.0
480291923003,race_tot_w,765.0
480291923004,race_tot_w,185.0
480299800011,race_tot_w,0.0
480299800021,race_tot_w,0.0
480299800031,race_tot_w,760.0
480299800041,race_tot_w,0.0
480299800051,race_tot_w,4.0
480299801001,race_tot_w,458.0
480291805033,race_tot_w,48.0
480291704011,race_tot_w,39.0
480291914081,race_tot_w,464.0
480291914091,race_tot_w,991.0
480291412006,race_tot_w,182.0
480291412003,race_tot_w,360.0
480291501002,race_tot_w,46.0
480291407002,race_tot_w,76.0
480291413002,race_tot_w,724.0
480291414021,race_tot_w,581.0
480291806022,race_tot_w,531.0
480291101003,race_tot_w,288.0
480291211121,race_tot_w,1004.0
480291519002,race_tot_w,482.0
480291409001,race_tot_w,196.0
480291505011,race_tot_w,0.0
480291505013,race_tot_w,0.0
480291110001,race_tot_w,180.0
480291204002,race_tot_w,485.0
480291204006,race_tot_w,509.0
480291204004,race_tot_w,1017.0
480291710005,race_tot_w,0.0
480291710003,race_tot_w,23.0
480291717005,race_tot_w,106.0
480291213004,race_tot_w,933.0
480291215012,race_tot_w,497.0
480291215073,race_tot_w,292.0
480291312001,race_tot_w,223.0
480291404003,race_tot_w,63.0
480291101001,race_tot_w,392.0
480291209023,race_tot_w,337.0
480291214032,race_tot_w,214.0
480291216041,race_tot_w,1758.0
480291216044,race_tot_w,722.0
480291207023,race_tot_w,620.0
480291213002,race_tot_w,647.0
480291703001,race_tot_w,107.0
480291704022,race_tot_w,11.0
480291704023,race_tot_w,24.0
480291706002,race_tot_w,7.0
480291707001,race_tot_w,23.0
480291212041,race_tot_w,506.0
480291212045,race_tot_w,313.0
480291416001,race_tot_w,150.0
480291215051,race_tot_w,1155.0
480291403001,race_tot_w,49.0
480291701013,race_tot_w,45.0
480291718021,race_tot_w,74.0
480291718024,race_tot_w,191.0
480291507005,race_tot_w,15.0
480291507002,race_tot_w,0.0
480291507004,race_tot_w,22.0
480291601002,race_tot_w,0.0
480291813021,race_tot_w,698.0
480291815063,race_tot_w,405.0
480291809024,race_tot_w,206.0
480291810032,race_tot_w,555.0
480291810053,race_tot_w,457.0
480291817152,race_tot_w,333.0
480291203001,race_tot_w,1483.0
480291205011,race_tot_w,120.0
480291205016,race_tot_w,249.0
480291205017,race_tot_w,60.0
480291211151,race_tot_w,579.0
480291211173,race_tot_w,709.0
480291815031,race_tot_w,1495.0
480291215082,race_tot_w,371.0
480291914054,race_tot_w,957.0
480291709002,race_tot_w,71.0
480291615012,race_tot_w,216.0
480291615014,race_tot_w,334.0
480291701023,race_tot_w,96.0
480291711002,race_tot_w,41.0
480291807024,race_tot_w,398.0
480291807021,race_tot_w,449.0
480291809013,race_tot_w,392.0
480291108003,race_tot_w,280.0
480291211163,race_tot_w,656.0
480291212034,race_tot_w,151.0
480291212033,race_tot_w,258.0
