block_group,household_ssdi,count_household_ssdi
480291818081,house_sup_sec_yes,55.0
480291821021,house_sup_sec_yes,0.0
480291911011,house_sup_sec_yes,9.0
480291911012,house_sup_sec_yes,15.0
480291219082,house_sup_sec_yes,16.0
480291219091,house_sup_sec_yes,0.0
480291219092,house_sup_sec_yes,0.0
480291219101,house_sup_sec_yes,10.0
480291219102,house_sup_sec_yes,11.0
480291304011,house_sup_sec_yes,21.0
480291304012,house_sup_sec_yes,68.0
480291304013,house_sup_sec_yes,61.0
480291304014,house_sup_sec_yes,27.0
480291304021,house_sup_sec_yes,61.0
480291304022,house_sup_sec_yes,122.0
480291304023,house_sup_sec_yes,62.0
480291314011,house_sup_sec_yes,166.0
480291314012,house_sup_sec_yes,80.0
480291314021,house_sup_sec_yes,24.0
480291719182,house_sup_sec_yes,0.0
480291719184,house_sup_sec_yes,0.0
480291719191,house_sup_sec_yes,72.0
480291719202,house_sup_sec_yes,67.0
480291719211,house_sup_sec_yes,49.0
480291719213,house_sup_sec_yes,32.0
480291719221,house_sup_sec_yes,51.0
480291719232,house_sup_sec_yes,0.0
480291719233,house_sup_sec_yes,201.0
480291719241,house_sup_sec_yes,12.0
480291720022,house_sup_sec_yes,29.0
480291719242,house_sup_sec_yes,24.0
480291719252,house_sup_sec_yes,26.0
480291719254,house_sup_sec_yes,41.0
480291720031,house_sup_sec_yes,36.0
480291720032,house_sup_sec_yes,15.0
480291720051,house_sup_sec_yes,15.0
480291720052,house_sup_sec_yes,37.0
480291720062,house_sup_sec_yes,0.0
480291720063,house_sup_sec_yes,16.0
480291720072,house_sup_sec_yes,13.0
480291720073,house_sup_sec_yes,84.0
480291801012,house_sup_sec_yes,67.0
480291315031,house_sup_sec_yes,120.0
480291315032,house_sup_sec_yes,8.0
480291315041,house_sup_sec_yes,0.0
480291315042,house_sup_sec_yes,29.0
480291315051,house_sup_sec_yes,38.0
480291315052,house_sup_sec_yes,81.0
480291315062,house_sup_sec_yes,11.0
480291316081,house_sup_sec_yes,32.0
480291315071,house_sup_sec_yes,42.0
480291315073,house_sup_sec_yes,84.0
480291316012,house_sup_sec_yes,108.0
480291316082,house_sup_sec_yes,24.0
480291316092,house_sup_sec_yes,0.0
480291316093,house_sup_sec_yes,10.0
480291316102,house_sup_sec_yes,26.0
480291316111,house_sup_sec_yes,34.0
480291316131,house_sup_sec_yes,0.0
480291316132,house_sup_sec_yes,0.0
480291316142,house_sup_sec_yes,0.0
480291316151,house_sup_sec_yes,16.0
480291316153,house_sup_sec_yes,13.0
480291316154,house_sup_sec_yes,18.0
480291318012,house_sup_sec_yes,1.0
480291318021,house_sup_sec_yes,20.0
480291318023,house_sup_sec_yes,50.0
480291411011,house_sup_sec_yes,39.0
480291411013,house_sup_sec_yes,42.0
480291411021,house_sup_sec_yes,41.0
480291411023,house_sup_sec_yes,93.0
480291414022,house_sup_sec_yes,34.0
