block_group,house_income,count_house_income
480291712003,house_ann_inc_000_010,67.0
480291418001,house_ann_inc_000_010,18.0
480291418002,house_ann_inc_000_010,42.0
480291512005,house_ann_inc_000_010,0.0
480291512003,house_ann_inc_000_010,0.0
480291512001,house_ann_inc_000_010,14.0
480291107001,house_ann_inc_000_010,185.0
480291904001,house_ann_inc_000_010,5.0
480291719121,house_ann_inc_000_010,44.0
480291817122,house_ann_inc_000_010,13.0
480291816023,house_ann_inc_000_010,17.0
480291816021,house_ann_inc_000_010,38.0
480291818081,house_ann_inc_000_010,55.0
480291821021,house_ann_inc_000_010,0.0
480291911011,house_ann_inc_000_010,15.0
480291911012,house_ann_inc_000_010,13.0
480291219082,house_ann_inc_000_010,0.0
480291219091,house_ann_inc_000_010,0.0
480291219092,house_ann_inc_000_010,63.0
480291219101,house_ann_inc_000_010,2.0
480291219102,house_ann_inc_000_010,0.0
480291304011,house_ann_inc_000_010,31.0
480291304012,house_ann_inc_000_010,46.0
480291304013,house_ann_inc_000_010,34.0
480291304014,house_ann_inc_000_010,49.0
480291304021,house_ann_inc_000_010,78.0
480291304022,house_ann_inc_000_010,106.0
480291304023,house_ann_inc_000_010,76.0
480291314011,house_ann_inc_000_010,38.0
480291314012,house_ann_inc_000_010,79.0
480291314021,house_ann_inc_000_010,31.0
480291719182,house_ann_inc_000_010,14.0
480291719184,house_ann_inc_000_010,0.0
480291719191,house_ann_inc_000_010,10.0
480291719202,house_ann_inc_000_010,41.0
480291719211,house_ann_inc_000_010,33.0
480291719213,house_ann_inc_000_010,7.0
480291719221,house_ann_inc_000_010,18.0
480291719232,house_ann_inc_000_010,30.0
480291719233,house_ann_inc_000_010,109.0
480291719241,house_ann_inc_000_010,93.0
480291720022,house_ann_inc_000_010,25.0
480291719242,house_ann_inc_000_010,26.0
480291719252,house_ann_inc_000_010,17.0
480291719254,house_ann_inc_000_010,13.0
480291720031,house_ann_inc_000_010,28.0
480291720032,house_ann_inc_000_010,7.0
480291720051,house_ann_inc_000_010,31.0
480291720052,house_ann_inc_000_010,25.0
480291720062,house_ann_inc_000_010,0.0
480291720063,house_ann_inc_000_010,79.0
480291720072,house_ann_inc_000_010,13.0
480291720073,house_ann_inc_000_010,46.0
480291801012,house_ann_inc_000_010,17.0
480291315031,house_ann_inc_000_010,56.0
480291315032,house_ann_inc_000_010,10.0
480291315041,house_ann_inc_000_010,24.0
480291315042,house_ann_inc_000_010,22.0
480291315051,house_ann_inc_000_010,0.0
480291315052,house_ann_inc_000_010,23.0
480291315062,house_ann_inc_000_010,12.0
480291316081,house_ann_inc_000_010,32.0
480291315071,house_ann_inc_000_010,61.0
480291315073,house_ann_inc_000_010,21.0
480291316012,house_ann_inc_000_010,8.0
480291316082,house_ann_inc_000_010,68.0
480291316092,house_ann_inc_000_010,73.0
480291316093,house_ann_inc_000_010,52.0
480291316102,house_ann_inc_000_010,16.0
480291316111,house_ann_inc_000_010,11.0
480291316131,house_ann_inc_000_010,0.0
480291316132,house_ann_inc_000_010,23.0
480291316142,house_ann_inc_000_010,0.0
480291316151,house_ann_inc_000_010,0.0
480291316153,house_ann_inc_000_010,0.0
480291316154,house_ann_inc_000_010,0.0
480291318012,house_ann_inc_000_010,7.0
480291318021,house_ann_inc_000_010,28.0
480291318023,house_ann_inc_000_010,46.0
480291411011,house_ann_inc_000_010,113.0
480291411013,house_ann_inc_000_010,68.0
480291411021,house_ann_inc_000_010,81.0
480291411023,house_ann_inc_000_010,83.0
480291414022,house_ann_inc_000_010,32.0
480291414032,house_ann_inc_000_010,107.0
480291414041,house_ann_inc_000_010,63.0
480291414043,house_ann_inc_000_010,259.0
480291416002,house_ann_inc_000_010,29.0
480291513011,house_ann_inc_000_010,28.0
480291513012,house_ann_inc_000_010,8.0
480291513013,house_ann_inc_000_010,52.0
480291513014,house_ann_inc_000_010,6.0
480291513021,house_ann_inc_000_010,40.0
480291513022,house_ann_inc_000_010,50.0
480291521003,house_ann_inc_000_010,20.0
480291521004,house_ann_inc_000_010,24.0
480291522011,house_ann_inc_000_010,92.0
480291522012,house_ann_inc_000_010,62.0
480291522013,house_ann_inc_000_010,8.0
480291522021,house_ann_inc_000_010,29.0
480291605011,house_ann_inc_000_010,230.0
480291605012,house_ann_inc_000_010,27.0
480291605021,house_ann_inc_000_010,33.0
480291609013,house_ann_inc_000_010,43.0
480291605022,house_ann_inc_000_010,48.0
480291605024,house_ann_inc_000_010,16.0
480291609011,house_ann_inc_000_010,58.0
480291609021,house_ann_inc_000_010,26.0
480291609023,house_ann_inc_000_010,43.0
480291613022,house_ann_inc_000_010,6.0
480291613032,house_ann_inc_000_010,46.0
480291613041,house_ann_inc_000_010,0.0
480291614001,house_ann_inc_000_010,21.0
480291615031,house_ann_inc_000_010,42.0
480291615033,house_ann_inc_000_010,37.0
480291615041,house_ann_inc_000_010,12.0
480291618011,house_ann_inc_000_010,20.0
480291618012,house_ann_inc_000_010,30.0
480291618022,house_ann_inc_000_010,126.0
480291619011,house_ann_inc_000_010,8.0
480291619022,house_ann_inc_000_010,0.0
480291619023,house_ann_inc_000_010,48.0
480291620032,house_ann_inc_000_010,9.0
480291620033,house_ann_inc_000_010,26.0
480291620042,house_ann_inc_000_010,58.0
480291713011,house_ann_inc_000_010,29.0
480291713021,house_ann_inc_000_010,17.0
480291713022,house_ann_inc_000_010,43.0
480291716011,house_ann_inc_000_010,19.0
480291716013,house_ann_inc_000_010,127.0
480291716021,house_ann_inc_000_010,132.0
480291719022,house_ann_inc_000_010,117.0
480291719023,house_ann_inc_000_010,479.0
480291719131,house_ann_inc_000_010,52.0
480291719132,house_ann_inc_000_010,9.0
480291719142,house_ann_inc_000_010,12.0
480291719143,house_ann_inc_000_010,11.0
480291719161,house_ann_inc_000_010,61.0
480291719162,house_ann_inc_000_010,33.0
480291719171,house_ann_inc_000_010,40.0
480291719172,house_ann_inc_000_010,0.0
480291215053,house_ann_inc_000_010,46.0
480291216051,house_ann_inc_000_010,29.0
480291216052,house_ann_inc_000_010,9.0
480291216062,house_ann_inc_000_010,13.0
480291216063,house_ann_inc_000_010,30.0
480291217011,house_ann_inc_000_010,47.0
480291217012,house_ann_inc_000_010,0.0
480291217014,house_ann_inc_000_010,35.0
480291217021,house_ann_inc_000_010,0.0
480291217023,house_ann_inc_000_010,17.0
480291218081,house_ann_inc_000_010,0.0
480291218091,house_ann_inc_000_010,18.0
480291218092,house_ann_inc_000_010,16.0
480291218101,house_ann_inc_000_010,44.0
480291218102,house_ann_inc_000_010,16.0
480291218112,house_ann_inc_000_010,0.0
480291218121,house_ann_inc_000_010,26.0
480291219032,house_ann_inc_000_010,45.0
480291218123,house_ann_inc_000_010,12.0
480291218124,house_ann_inc_000_010,0.0
480291219031,house_ann_inc_000_010,21.0
480291219042,house_ann_inc_000_010,0.0
480291219051,house_ann_inc_000_010,31.0
480291219061,house_ann_inc_000_010,0.0
480291219062,house_ann_inc_000_010,46.0
480291219072,house_ann_inc_000_010,47.0
480291219081,house_ann_inc_000_010,47.0
480291209024,house_ann_inc_000_010,73.0
480291211103,house_ann_inc_000_010,0.0
