block_group,commute_method,count_commute_method
480291719254,commute_car,1710.0
480291720031,commute_car,1527.0
480291720032,commute_car,1093.0
480291720051,commute_car,2101.0
480291720052,commute_car,3151.0
480291720062,commute_car,961.0
480291720063,commute_car,732.0
480291720072,commute_car,975.0
480291720073,commute_car,2049.0
480291801012,commute_car,652.0
480291315031,commute_car,306.0
480291315032,commute_car,455.0
480291315041,commute_car,475.0
480291315042,commute_car,297.0
480291315051,commute_car,1013.0
480291315052,commute_car,1067.0
480291315062,commute_car,1099.0
480291316081,commute_car,727.0
480291315071,commute_car,1231.0
480291315073,commute_car,966.0
480291316012,commute_car,1410.0
480291316082,commute_car,1547.0
480291316092,commute_car,955.0
480291316093,commute_car,1434.0
480291316102,commute_car,1143.0
480291316111,commute_car,427.0
480291316131,commute_car,733.0
480291316132,commute_car,1135.0
480291316142,commute_car,233.0
480291316151,commute_car,1593.0
480291316153,commute_car,959.0
480291316154,commute_car,574.0
480291318012,commute_car,311.0
480291318021,commute_car,1015.0
480291318023,commute_car,967.0
480291411011,commute_car,317.0
480291411013,commute_car,513.0
480291411021,commute_car,229.0
480291411023,commute_car,527.0
480291414022,commute_car,863.0
480291414032,commute_car,1289.0
480291414041,commute_car,1228.0
480291414043,commute_car,215.0
480291416002,commute_car,972.0
480291513011,commute_car,393.0
480291513012,commute_car,225.0
480291513013,commute_car,551.0
480291513014,commute_car,1135.0
480291513021,commute_car,638.0
480291513022,commute_car,614.0
480291521003,commute_car,275.0
480291521004,commute_car,751.0
480291522011,commute_car,1157.0
480291522012,commute_car,707.0
480291522013,commute_car,784.0
480291522021,commute_car,1458.0
480291605011,commute_car,365.0
480291605012,commute_car,312.0
480291605021,commute_car,165.0
480291609013,commute_car,347.0
480291605022,commute_car,380.0
480291605024,commute_car,546.0
480291609011,commute_car,281.0
480291609021,commute_car,816.0
480291609023,commute_car,475.0
480291613022,commute_car,681.0
480291613032,commute_car,906.0
480291613041,commute_car,716.0
480291614001,commute_car,1482.0
480291615031,commute_car,975.0
480291615033,commute_car,369.0
480291615041,commute_car,606.0
480291618011,commute_car,1426.0
480291618012,commute_car,267.0
480291618022,commute_car,1360.0
480291619011,commute_car,444.0
480291619022,commute_car,1239.0
480291619023,commute_car,1379.0
480291620032,commute_car,579.0
480291620033,commute_car,377.0
480291620042,commute_car,780.0
480291713011,commute_car,287.0
480291713021,commute_car,466.0
480291713022,commute_car,317.0
480291716011,commute_car,598.0
480291716013,commute_car,409.0
480291716021,commute_car,800.0
480291719022,commute_car,2380.0
480291719023,commute_car,2823.0
480291719131,commute_car,1856.0
480291719132,commute_car,658.0
480291719142,commute_car,895.0
480291719143,commute_car,972.0
480291719161,commute_car,1583.0
480291719162,commute_car,793.0
480291719171,commute_car,1788.0
480291719172,commute_car,2085.0
480291215053,commute_car,977.0
480291216051,commute_car,641.0
480291216052,commute_car,235.0
480291216062,commute_car,1305.0
480291216063,commute_car,425.0
480291217011,commute_car,609.0
480291217012,commute_car,331.0
480291217014,commute_car,542.0
480291217021,commute_car,1659.0
480291217023,commute_car,1167.0
480291218081,commute_car,351.0
480291218091,commute_car,510.0
480291218092,commute_car,1014.0
480291218101,commute_car,1497.0
480291218102,commute_car,696.0
480291218112,commute_car,560.0
480291218121,commute_car,1855.0
480291219032,commute_car,1191.0
480291218123,commute_car,416.0
480291218124,commute_car,259.0
480291219031,commute_car,1322.0
480291219042,commute_car,1067.0
480291219051,commute_car,956.0
480291219061,commute_car,1334.0
480291219062,commute_car,1276.0
480291219072,commute_car,4954.0
480291219081,commute_car,765.0
480291209024,commute_car,1083.0
480291211103,commute_car,797.0
480291211183,commute_car,816.0
480291211192,commute_car,1890.0
480291211193,commute_car,966.0
480291211202,commute_car,1123.0
480291211211,commute_car,863.0
480291211212,commute_car,590.0
480291211221,commute_car,827.0
480291211222,commute_car,729.0
480291211223,commute_car,1371.0
480291215014,commute_car,754.0
480291713023,commute_car,246.0
480291713024,commute_car,247.0
480291714012,commute_car,1358.0
480291714021,commute_car,812.0
480291714023,commute_car,1105.0
480291715011,commute_car,472.0
480291715021,commute_car,609.0
480291715022,commute_car,281.0
480291715024,commute_car,567.0
480291914121,commute_car,949.0
480291914131,commute_car,1296.0
480291914132,commute_car,1664.0
480291915031,commute_car,966.0
480291915032,commute_car,792.0
480291915033,commute_car,502.0
480291915041,commute_car,487.0
480291915042,commute_car,527.0
480291915051,commute_car,468.0
480291915052,commute_car,457.0
480291915061,commute_car,997.0
480291915062,commute_car,1170.0
480291915063,commute_car,809.0
480291917012,commute_car,305.0
480291917021,commute_car,2039.0
480291917023,commute_car,565.0
480291917024,commute_car,325.0
480291918061,commute_car,460.0
480291918062,commute_car,516.0
480291918071,commute_car,1554.0
480291918072,commute_car,1469.0
480291918082,commute_car,815.0
480291918091,commute_car,1969.0
480291918101,commute_car,1246.0
480291918102,commute_car,1012.0
480291918121,commute_car,1057.0
480291918122,commute_car,611.0
480291918132,commute_car,1115.0
480291821062,commute_car,1599.0
480291905031,commute_car,723.0
480291905033,commute_car,758.0
480291905041,commute_car,661.0
480291906031,commute_car,626.0
480291906032,commute_car,712.0
480291906042,commute_car,504.0
480291906043,commute_car,663.0
480291910052,commute_car,489.0
480291910061,commute_car,348.0
480291910063,commute_car,739.0
480291801014,commute_car,328.0
480291801015,commute_car,250.0
480291801021,commute_car,364.0
480291806044,commute_car,284.0
480291801022,commute_car,569.0
480291806041,commute_car,908.0
480291806042,commute_car,972.0
480291806045,commute_car,312.0
480291810033,commute_car,1959.0
480291813032,commute_car,680.0
480291814032,commute_car,1637.0
480291814033,commute_car,822.0
480291814042,commute_car,734.0
480291815032,commute_car,2233.0
480291817112,commute_car,1212.0
480291817113,commute_car,1549.0
480291817153,commute_car,757.0
480291817162,commute_car,839.0
480291817163,commute_car,1512.0
480291817164,commute_car,669.0
480291817183,commute_car,907.0
480291817201,commute_car,1902.0
480291817202,commute_car,339.0
480291817211,commute_car,1126.0
480291817212,commute_car,859.0
480291817231,commute_car,915.0
480291817221,commute_car,1014.0
480291817222,commute_car,736.0
480291817223,commute_car,851.0
480291817232,commute_car,504.0
480291817233,commute_car,993.0
480291817241,commute_car,1433.0
480291817242,commute_car,1150.0
480291817251,commute_car,1036.0
480291817261,commute_car,1022.0
480291817262,commute_car,1727.0
480291817271,commute_car,1447.0
480291817272,commute_car,374.0
480291817282,commute_car,1952.0
480291817291,commute_car,4364.0
480291817302,commute_car,1248.0
480291817311,commute_car,966.0
480291817313,commute_car,1084.0
480291817314,commute_car,902.0
480291818131,commute_car,1447.0
480291818133,commute_car,1056.0
480291818141,commute_car,2299.0
480291818151,commute_car,505.0
480291818152,commute_car,1042.0
480291818162,commute_car,1559.0
480291818171,commute_car,1188.0
480291818181,commute_car,851.0
480291818182,commute_car,722.0
480291818191,commute_car,574.0
480291818192,commute_car,2943.0
480291818202,commute_car,2368.0
480291818211,commute_car,474.0
480291818221,commute_car,621.0
480291818222,commute_car,764.0
480291818231,commute_car,1605.0
480291818241,commute_car,591.0
480291912012,commute_car,829.0
480291910064,commute_car,642.0
480291912011,commute_car,564.0
480291912021,commute_car,513.0
480291912022,commute_car,959.0
480291912023,commute_car,275.0
480291912024,commute_car,526.0
480291913031,commute_car,899.0
480291913041,commute_car,348.0
480291913042,commute_car,755.0
480291914062,commute_car,821.0
480291914063,commute_car,754.0
480291914082,commute_car,634.0
480291914101,commute_car,677.0
480291914102,commute_car,1415.0
480291914103,commute_car,934.0
480291914111,commute_car,972.0
480291914112,commute_car,1601.0
480291818242,commute_car,1353.0
480291818251,commute_car,920.0
480291818252,commute_car,1660.0
480291818261,commute_car,1020.0
480291818262,commute_car,1498.0
480291818263,commute_car,597.0
480291818264,commute_car,845.0
480291819011,commute_car,1448.0
480291819012,commute_car,1555.0
480291819021,commute_car,2545.0
480291819022,commute_car,1215.0
480291820011,commute_car,1098.0
480291820012,commute_car,1628.0
480291820021,commute_car,2189.0
480291820023,commute_car,1625.0
480291820032,commute_car,878.0
480291821012,commute_car,665.0
480291821022,commute_car,842.0
480291821023,commute_car,1731.0
480291821061,commute_car,1554.0
480291918142,commute_car,1084.0
480291918151,commute_car,1242.0
480291918161,commute_car,615.0
480291918162,commute_car,460.0
480291918172,commute_car,1519.0
480291919001,commute_car,297.0
480291919003,commute_car,190.0
480291919004,commute_car,178.0
480291920001,commute_car,653.0
480291920002,commute_car,676.0
480291920004,commute_car,224.0
480291920005,commute_car,152.0
480291921002,commute_car,541.0
480291922001,commute_car,799.0
480291923001,commute_car,177.0
480291923002,commute_car,1490.0
480291923003,commute_car,488.0
480291923004,commute_car,473.0
480299800011,commute_car,0.0
480299800021,commute_car,0.0
480299800031,commute_car,316.0
480299800041,commute_car,0.0
480299800051,commute_car,8.0
480299801001,commute_car,262.0
480291805033,commute_car,993.0
480291704011,commute_car,427.0
480291914081,commute_car,917.0
480291914091,commute_car,2091.0
480291412006,commute_car,512.0
480291412003,commute_car,561.0
480291501002,commute_car,855.0
480291407002,commute_car,367.0
480291413002,commute_car,1114.0
480291414021,commute_car,1509.0
480291806022,commute_car,669.0
480291101003,commute_car,488.0
480291211121,commute_car,999.0
480291519002,commute_car,2139.0
480291409001,commute_car,297.0
480291505011,commute_car,356.0
480291505013,commute_car,317.0
480291110001,commute_car,350.0
480291204002,commute_car,274.0
480291204006,commute_car,125.0
480291204004,commute_car,355.0
480291710005,commute_car,176.0
480291710003,commute_car,599.0
480291717005,commute_car,415.0
480291213004,commute_car,633.0
480291215012,commute_car,1049.0
480291215073,commute_car,492.0
480291312001,commute_car,408.0
480291404003,commute_car,456.0
480291101001,commute_car,256.0
480291209023,commute_car,818.0
480291214032,commute_car,550.0
480291216041,commute_car,1931.0
480291216044,commute_car,949.0
480291207023,commute_car,536.0
480291213002,commute_car,495.0
480291703001,commute_car,523.0
480291704022,commute_car,464.0
480291704023,commute_car,452.0
480291706002,commute_car,473.0
480291707001,commute_car,544.0
480291212041,commute_car,661.0
480291212045,commute_car,1057.0
480291416001,commute_car,1195.0
480291215051,commute_car,1239.0
480291403001,commute_car,346.0
480291701013,commute_car,459.0
480291718021,commute_car,358.0
480291718024,commute_car,370.0
480291507005,commute_car,493.0
480291507002,commute_car,398.0
480291507004,commute_car,544.0
480291601002,commute_car,688.0
480291813021,commute_car,1188.0
480291815063,commute_car,833.0
480291809024,commute_car,822.0
480291810032,commute_car,534.0
480291810053,commute_car,783.0
480291817152,commute_car,709.0
480291203001,commute_car,896.0
480291205011,commute_car,285.0
480291205016,commute_car,402.0
480291205017,commute_car,590.0
480291211151,commute_car,597.0
480291211173,commute_car,702.0
480291815031,commute_car,1593.0
480291215082,commute_car,893.0
480291914054,commute_car,464.0
480291709002,commute_car,563.0
480291615012,commute_car,209.0
480291615014,commute_car,386.0
480291701023,commute_car,484.0
480291711002,commute_car,636.0
480291807024,commute_car,274.0
480291807021,commute_car,718.0
480291809013,commute_car,498.0
480291108003,commute_car,239.0
480291211163,commute_car,764.0
480291212034,commute_car,571.0
480291212033,commute_car,480.0
480291817181,commute_car,1057.0
480291902005,commute_car,589.0
480291902002,commute_car,253.0
480291802024,commute_car,219.0
480291802022,commute_car,477.0
480291805014,commute_car,105.0
480291808003,commute_car,188.0
480291708001,commute_car,205.0
480291106001,commute_car,304.0
480291510002,commute_car,462.0
480291510003,commute_car,597.0
480291607021,commute_car,451.0
480291607022,commute_car,509.0
480291215083,commute_car,505.0
480291216011,commute_car,761.0
480291218022,commute_car,1259.0
480291303004,commute_car,317.0
480291303003,commute_car,200.0
480291909014,commute_car,236.0
480291809011,commute_car,449.0
480291815043,commute_car,224.0
480291816011,commute_car,439.0
480291818093,commute_car,707.0
480291821011,commute_car,1904.0
480291906012,commute_car,515.0
480291910042,commute_car,800.0
480291212052,commute_car,406.0
480291212064,commute_car,349.0
480291212066,commute_car,528.0
480291602001,commute_car,356.0
480291817131,commute_car,1109.0
480291815052,commute_car,681.0
480291817041,commute_car,640.0
480291817043,commute_car,907.0
480291907001,commute_car,547.0
480291812003,commute_car,452.0
480291511006,commute_car,48.0
480291514003,commute_car,458.0
480291909022,commute_car,772.0
480291810011,commute_car,623.0
480291821031,commute_car,1304.0
480291901001,commute_car,331.0
480291817033,commute_car,1415.0
480291803004,commute_car,377.0
480291313003,commute_car,623.0
480291313002,commute_car,673.0
480291103001,commute_car,577.0
480291206007,commute_car,245.0
480291206004,commute_car,743.0
480291206001,commute_car,669.0
480291517005,commute_car,457.0
480291517004,commute_car,365.0
480291719031,commute_car,424.0
480291717002,commute_car,315.0
480291719033,commute_car,592.0
480291509004,commute_car,250.0
480291509003,commute_car,597.0
480291705001,commute_car,481.0
480291805041,commute_car,636.0
480291205022,commute_car,193.0
480291205021,commute_car,509.0
480291207014,commute_car,301.0
480291302001,commute_car,417.0
480291410001,commute_car,249.0
480291516005,commute_car,339.0
480291516003,commute_car,906.0
480291817053,commute_car,1095.0
480291606002,commute_car,656.0
480291419001,commute_car,883.0
480291515001,commute_car,326.0
480291603001,commute_car,413.0
480291603004,commute_car,449.0
480291613021,commute_car,1742.0
480291804002,commute_car,617.0
480291807011,commute_car,610.0
480291811001,commute_car,567.0
480291211082,commute_car,813.0
480291203004,commute_car,533.0
480291203006,commute_car,488.0
480291506002,commute_car,531.0
480291506001,commute_car,340.0
480291511002,commute_car,854.0
480291105001,commute_car,332.0
480291210002,commute_car,286.0
480291210001,commute_car,244.0
480291211101,commute_car,1099.0
480291215063,commute_car,636.0
480291315033,commute_car,528.0
480291315043,commute_car,1106.0
480291315061,commute_car,555.0
480291315072,commute_car,484.0
480291316062,commute_car,1550.0
480291316091,commute_car,941.0
