block_group,gender_not_work_age,count_gender_not_work_age
480291414041,sex_not_work_age_tot_m,430.0
480291414043,sex_not_work_age_tot_m,109.0
480291416002,sex_not_work_age_tot_m,435.0
480291513011,sex_not_work_age_tot_m,117.0
480291513012,sex_not_work_age_tot_m,230.0
480291513013,sex_not_work_age_tot_m,275.0
480291513014,sex_not_work_age_tot_m,288.0
480291513021,sex_not_work_age_tot_m,335.0
480291513022,sex_not_work_age_tot_m,411.0
480291521003,sex_not_work_age_tot_m,136.0
480291521004,sex_not_work_age_tot_m,319.0
480291522011,sex_not_work_age_tot_m,770.0
480291522012,sex_not_work_age_tot_m,595.0
480291522013,sex_not_work_age_tot_m,308.0
480291522021,sex_not_work_age_tot_m,729.0
480291605011,sex_not_work_age_tot_m,656.0
480291605012,sex_not_work_age_tot_m,236.0
480291605021,sex_not_work_age_tot_m,178.0
480291609013,sex_not_work_age_tot_m,273.0
480291605022,sex_not_work_age_tot_m,289.0
480291605024,sex_not_work_age_tot_m,434.0
480291609011,sex_not_work_age_tot_m,132.0
480291609021,sex_not_work_age_tot_m,381.0
480291609023,sex_not_work_age_tot_m,375.0
480291613022,sex_not_work_age_tot_m,314.0
480291613032,sex_not_work_age_tot_m,691.0
480291613041,sex_not_work_age_tot_m,542.0
480291614001,sex_not_work_age_tot_m,387.0
480291615031,sex_not_work_age_tot_m,463.0
480291615033,sex_not_work_age_tot_m,354.0
480291615041,sex_not_work_age_tot_m,313.0
480291618011,sex_not_work_age_tot_m,750.0
480291618012,sex_not_work_age_tot_m,344.0
480291618022,sex_not_work_age_tot_m,806.0
480291619011,sex_not_work_age_tot_m,261.0
480291619022,sex_not_work_age_tot_m,762.0
480291619023,sex_not_work_age_tot_m,743.0
480291620032,sex_not_work_age_tot_m,264.0
480291620033,sex_not_work_age_tot_m,233.0
480291620042,sex_not_work_age_tot_m,597.0
480291713011,sex_not_work_age_tot_m,125.0
480291713021,sex_not_work_age_tot_m,193.0
480291713022,sex_not_work_age_tot_m,90.0
480291716011,sex_not_work_age_tot_m,661.0
480291716013,sex_not_work_age_tot_m,220.0
480291716021,sex_not_work_age_tot_m,472.0
480291719022,sex_not_work_age_tot_m,574.0
480291719023,sex_not_work_age_tot_m,1364.0
480291719131,sex_not_work_age_tot_m,1071.0
480291719132,sex_not_work_age_tot_m,340.0
480291719142,sex_not_work_age_tot_m,301.0
480291719143,sex_not_work_age_tot_m,340.0
480291719161,sex_not_work_age_tot_m,582.0
480291719162,sex_not_work_age_tot_m,236.0
480291719171,sex_not_work_age_tot_m,786.0
480291719172,sex_not_work_age_tot_m,1175.0
480291215053,sex_not_work_age_tot_m,369.0
480291216051,sex_not_work_age_tot_m,200.0
480291216052,sex_not_work_age_tot_m,95.0
480291216062,sex_not_work_age_tot_m,368.0
480291216063,sex_not_work_age_tot_m,190.0
480291217011,sex_not_work_age_tot_m,300.0
480291217012,sex_not_work_age_tot_m,174.0
480291217014,sex_not_work_age_tot_m,145.0
480291217021,sex_not_work_age_tot_m,827.0
480291217023,sex_not_work_age_tot_m,587.0
480291218081,sex_not_work_age_tot_m,139.0
480291218091,sex_not_work_age_tot_m,202.0
