block_group,gender,count_gender
480291216052,sex_age_tot_f,373.0
480291216062,sex_age_tot_f,1282.0
480291216063,sex_age_tot_f,531.0
480291217011,sex_age_tot_f,822.0
480291217012,sex_age_tot_f,435.0
480291217014,sex_age_tot_f,660.0
480291217021,sex_age_tot_f,1766.0
480291217023,sex_age_tot_f,1477.0
480291218081,sex_age_tot_f,372.0
480291218091,sex_age_tot_f,522.0
480291218092,sex_age_tot_f,1141.0
480291218101,sex_age_tot_f,1928.0
480291218102,sex_age_tot_f,804.0
480291218112,sex_age_tot_f,660.0
480291218121,sex_age_tot_f,2180.0
480291219032,sex_age_tot_f,1716.0
480291218123,sex_age_tot_f,296.0
480291218124,sex_age_tot_f,389.0
480291219031,sex_age_tot_f,1271.0
480291219042,sex_age_tot_f,1105.0
480291219051,sex_age_tot_f,966.0
480291219061,sex_age_tot_f,1440.0
480291219062,sex_age_tot_f,1204.0
480291219072,sex_age_tot_f,5400.0
480291219081,sex_age_tot_f,883.0
480291209024,sex_age_tot_f,952.0
480291211103,sex_age_tot_f,726.0
480291211183,sex_age_tot_f,850.0
480291211192,sex_age_tot_f,1845.0
480291211193,sex_age_tot_f,900.0
480291211202,sex_age_tot_f,1065.0
480291211211,sex_age_tot_f,866.0
480291211212,sex_age_tot_f,614.0
480291211221,sex_age_tot_f,848.0
480291211222,sex_age_tot_f,821.0
480291211223,sex_age_tot_f,1312.0
480291215014,sex_age_tot_f,1039.0
480291713023,sex_age_tot_f,502.0
480291713024,sex_age_tot_f,532.0
480291714012,sex_age_tot_f,1387.0
480291714021,sex_age_tot_f,1631.0
480291714023,sex_age_tot_f,1254.0
480291715011,sex_age_tot_f,433.0
480291715021,sex_age_tot_f,770.0
480291715022,sex_age_tot_f,355.0
480291715024,sex_age_tot_f,706.0
480291914121,sex_age_tot_f,1215.0
480291914131,sex_age_tot_f,1766.0
480291914132,sex_age_tot_f,1762.0
480291915031,sex_age_tot_f,1366.0
480291915032,sex_age_tot_f,864.0
480291915033,sex_age_tot_f,607.0
480291915041,sex_age_tot_f,603.0
480291915042,sex_age_tot_f,691.0
480291915051,sex_age_tot_f,539.0
480291915052,sex_age_tot_f,680.0
480291915061,sex_age_tot_f,993.0
480291915062,sex_age_tot_f,1455.0
480291915063,sex_age_tot_f,798.0
480291917012,sex_age_tot_f,383.0
480291917021,sex_age_tot_f,1849.0
480291917023,sex_age_tot_f,554.0
480291917024,sex_age_tot_f,532.0
480291918061,sex_age_tot_f,521.0
480291918062,sex_age_tot_f,800.0
480291918071,sex_age_tot_f,1944.0
480291918072,sex_age_tot_f,1197.0
480291918082,sex_age_tot_f,800.0
480291918091,sex_age_tot_f,2737.0
480291918101,sex_age_tot_f,1401.0
480291918102,sex_age_tot_f,1111.0
480291918121,sex_age_tot_f,1390.0
480291918122,sex_age_tot_f,771.0
480291918132,sex_age_tot_f,1175.0
480291821062,sex_age_tot_f,2156.0
480291905031,sex_age_tot_f,533.0
480291905033,sex_age_tot_f,973.0
480291905041,sex_age_tot_f,738.0
480291906031,sex_age_tot_f,773.0
480291906032,sex_age_tot_f,785.0
480291906042,sex_age_tot_f,590.0
480291906043,sex_age_tot_f,780.0
480291910052,sex_age_tot_f,593.0
480291910061,sex_age_tot_f,489.0
480291910063,sex_age_tot_f,1002.0
480291801014,sex_age_tot_f,291.0
480291801015,sex_age_tot_f,383.0
480291801021,sex_age_tot_f,389.0
480291806044,sex_age_tot_f,345.0
480291801022,sex_age_tot_f,519.0
480291806041,sex_age_tot_f,1029.0
480291806042,sex_age_tot_f,1222.0
480291806045,sex_age_tot_f,407.0
480291810033,sex_age_tot_f,1689.0
480291813032,sex_age_tot_f,1112.0
480291814032,sex_age_tot_f,993.0
480291814033,sex_age_tot_f,944.0
480291814042,sex_age_tot_f,840.0
480291815032,sex_age_tot_f,2633.0
480291817112,sex_age_tot_f,1003.0
480291817113,sex_age_tot_f,1896.0
480291817153,sex_age_tot_f,1200.0
480291817162,sex_age_tot_f,812.0
480291817163,sex_age_tot_f,1271.0
480291817164,sex_age_tot_f,674.0
480291817183,sex_age_tot_f,1051.0
480291817201,sex_age_tot_f,2311.0
480291817202,sex_age_tot_f,325.0
480291817211,sex_age_tot_f,1214.0
480291817212,sex_age_tot_f,829.0
480291817231,sex_age_tot_f,913.0
480291817221,sex_age_tot_f,1045.0
480291817222,sex_age_tot_f,791.0
480291817223,sex_age_tot_f,886.0
480291817232,sex_age_tot_f,523.0
480291817233,sex_age_tot_f,1275.0
480291817241,sex_age_tot_f,1609.0
480291817242,sex_age_tot_f,1231.0
480291817251,sex_age_tot_f,1406.0
480291817261,sex_age_tot_f,1395.0
480291817262,sex_age_tot_f,2183.0
480291817271,sex_age_tot_f,1854.0
480291817272,sex_age_tot_f,414.0
480291817282,sex_age_tot_f,2891.0
480291817291,sex_age_tot_f,5245.0
480291817302,sex_age_tot_f,1530.0
480291817311,sex_age_tot_f,687.0
480291817313,sex_age_tot_f,1245.0
480291817314,sex_age_tot_f,985.0
480291818131,sex_age_tot_f,1122.0
480291818133,sex_age_tot_f,1806.0
480291818141,sex_age_tot_f,1766.0
480291818151,sex_age_tot_f,704.0
480291818152,sex_age_tot_f,1069.0
480291818162,sex_age_tot_f,1647.0
480291818171,sex_age_tot_f,1069.0
480291818181,sex_age_tot_f,1192.0
480291818182,sex_age_tot_f,910.0
480291818191,sex_age_tot_f,361.0
480291818192,sex_age_tot_f,3182.0
480291818202,sex_age_tot_f,1999.0
480291818211,sex_age_tot_f,492.0
480291818221,sex_age_tot_f,824.0
480291818222,sex_age_tot_f,853.0
480291818231,sex_age_tot_f,1781.0
480291818241,sex_age_tot_f,697.0
