block_group,m_biz_type,count_biz_type
480291316111,workers_m_profit,192.0
480291316131,workers_m_profit,273.0
480291316132,workers_m_profit,530.0
480291316142,workers_m_profit,85.0
480291316151,workers_m_profit,596.0
480291316153,workers_m_profit,408.0
480291316154,workers_m_profit,223.0
480291318012,workers_m_profit,151.0
480291318021,workers_m_profit,422.0
480291318023,workers_m_profit,202.0
480291411011,workers_m_profit,195.0
480291411013,workers_m_profit,227.0
480291411021,workers_m_profit,252.0
480291411023,workers_m_profit,218.0
480291414022,workers_m_profit,340.0
480291414032,workers_m_profit,589.0
480291414041,workers_m_profit,593.0
480291414043,workers_m_profit,99.0
480291416002,workers_m_profit,507.0
480291513011,workers_m_profit,222.0
480291513012,workers_m_profit,110.0
480291513013,workers_m_profit,244.0
480291513014,workers_m_profit,632.0
480291513021,workers_m_profit,263.0
480291513022,workers_m_profit,418.0
480291521003,workers_m_profit,189.0
480291521004,workers_m_profit,495.0
480291522011,workers_m_profit,461.0
480291522012,workers_m_profit,257.0
480291522013,workers_m_profit,397.0
480291522021,workers_m_profit,777.0
480291605011,workers_m_profit,201.0
480291605012,workers_m_profit,233.0
480291605021,workers_m_profit,27.0
480291609013,workers_m_profit,172.0
480291605022,workers_m_profit,114.0
480291605024,workers_m_profit,268.0
480291609011,workers_m_profit,132.0
480291609021,workers_m_profit,435.0
480291609023,workers_m_profit,211.0
480291613022,workers_m_profit,349.0
480291613032,workers_m_profit,364.0
480291613041,workers_m_profit,355.0
480291614001,workers_m_profit,292.0
480291615031,workers_m_profit,456.0
480291615033,workers_m_profit,144.0
480291615041,workers_m_profit,325.0
480291618011,workers_m_profit,504.0
480291618012,workers_m_profit,121.0
480291618022,workers_m_profit,729.0
480291619011,workers_m_profit,268.0
480291619022,workers_m_profit,685.0
480291619023,workers_m_profit,583.0
480291620032,workers_m_profit,274.0
480291620033,workers_m_profit,165.0
480291620042,workers_m_profit,347.0
480291713011,workers_m_profit,194.0
480291713021,workers_m_profit,230.0
480291713022,workers_m_profit,75.0
480291716011,workers_m_profit,284.0
480291716013,workers_m_profit,223.0
480291716021,workers_m_profit,396.0
480291719022,workers_m_profit,1008.0
480291719023,workers_m_profit,1057.0
480291719131,workers_m_profit,889.0
480291719132,workers_m_profit,201.0
480291719142,workers_m_profit,326.0
480291719143,workers_m_profit,505.0
480291719161,workers_m_profit,498.0
480291719162,workers_m_profit,312.0
480291719171,workers_m_profit,717.0
480291719172,workers_m_profit,1055.0
480291215053,workers_m_profit,272.0
480291216051,workers_m_profit,299.0
480291216052,workers_m_profit,90.0
480291216062,workers_m_profit,738.0
480291216063,workers_m_profit,233.0
480291217011,workers_m_profit,241.0
480291217012,workers_m_profit,126.0
480291217014,workers_m_profit,239.0
480291217021,workers_m_profit,460.0
480291217023,workers_m_profit,559.0
480291218081,workers_m_profit,152.0
480291218091,workers_m_profit,227.0
480291218092,workers_m_profit,488.0
480291218101,workers_m_profit,495.0
480291218102,workers_m_profit,289.0
480291218112,workers_m_profit,253.0
480291218121,workers_m_profit,822.0
480291219032,workers_m_profit,575.0
480291218123,workers_m_profit,218.0
480291218124,workers_m_profit,85.0
480291219031,workers_m_profit,584.0
480291219042,workers_m_profit,422.0
480291219051,workers_m_profit,583.0
480291219061,workers_m_profit,554.0
480291219062,workers_m_profit,631.0
480291219072,workers_m_profit,2125.0
480291219081,workers_m_profit,307.0
480291209024,workers_m_profit,501.0
480291211103,workers_m_profit,325.0
480291211183,workers_m_profit,402.0
480291211192,workers_m_profit,795.0
480291211193,workers_m_profit,446.0
480291211202,workers_m_profit,467.0
480291211211,workers_m_profit,363.0
480291211212,workers_m_profit,265.0
480291211221,workers_m_profit,341.0
480291211222,workers_m_profit,330.0
480291211223,workers_m_profit,563.0
480291215014,workers_m_profit,387.0
480291713023,workers_m_profit,155.0
480291713024,workers_m_profit,65.0
480291714012,workers_m_profit,654.0
480291714021,workers_m_profit,458.0
480291714023,workers_m_profit,487.0
480291715011,workers_m_profit,254.0
480291715021,workers_m_profit,242.0
480291715022,workers_m_profit,223.0
480291715024,workers_m_profit,274.0
480291914121,workers_m_profit,516.0
480291914131,workers_m_profit,521.0
480291914132,workers_m_profit,589.0
480291915031,workers_m_profit,353.0
480291915032,workers_m_profit,275.0
480291915033,workers_m_profit,226.0
480291915041,workers_m_profit,190.0
480291915042,workers_m_profit,300.0
480291915051,workers_m_profit,171.0
480291915052,workers_m_profit,180.0
480291915061,workers_m_profit,447.0
480291915062,workers_m_profit,479.0
480291915063,workers_m_profit,239.0
480291917012,workers_m_profit,101.0
480291917021,workers_m_profit,1036.0
480291917023,workers_m_profit,163.0
480291917024,workers_m_profit,206.0
480291918061,workers_m_profit,216.0
480291918062,workers_m_profit,296.0
480291918071,workers_m_profit,793.0
480291918072,workers_m_profit,625.0
480291918082,workers_m_profit,306.0
480291918091,workers_m_profit,969.0
480291918101,workers_m_profit,506.0
480291918102,workers_m_profit,477.0
480291918121,workers_m_profit,522.0
480291918122,workers_m_profit,271.0
480291918132,workers_m_profit,589.0
480291821062,workers_m_profit,669.0
480291905031,workers_m_profit,315.0
480291905033,workers_m_profit,379.0
480291905041,workers_m_profit,296.0
480291906031,workers_m_profit,359.0
480291906032,workers_m_profit,258.0
480291906042,workers_m_profit,315.0
480291906043,workers_m_profit,247.0
480291910052,workers_m_profit,197.0
480291910061,workers_m_profit,197.0
480291910063,workers_m_profit,286.0
480291801014,workers_m_profit,104.0
480291801015,workers_m_profit,70.0
480291801021,workers_m_profit,180.0
480291806044,workers_m_profit,124.0
480291801022,workers_m_profit,216.0
480291806041,workers_m_profit,545.0
480291806042,workers_m_profit,436.0
480291806045,workers_m_profit,191.0
480291810033,workers_m_profit,1325.0
480291813032,workers_m_profit,443.0
480291814032,workers_m_profit,750.0
480291814033,workers_m_profit,324.0
480291814042,workers_m_profit,294.0
480291815032,workers_m_profit,934.0
480291817112,workers_m_profit,450.0
480291817113,workers_m_profit,603.0
480291817153,workers_m_profit,231.0
480291817162,workers_m_profit,358.0
